eyebrow,"n. 眉毛
v. 为…描眉；用皱眉蹙额迫使"
browbeat,vt. 恫吓，吓唬；欺侮
bullfight,n. 斗牛（流行于西班牙和南美）
bullshit,"n. 胡说
vt. 胡说，哄骗"
bullet,"n. 子弹；只选某党全部候选人的投票；豆子
vi. 射出；迅速行进"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
bulletin,"n. 公告，公报
vt. 公布，公告"
ambush,"n. 埋伏，伏击；伏兵
vt. 埋伏，伏击
vi. 埋伏"
bushfighter,"n. 丛林游击队员, 丛林(地)战士"
rosebush,n. 蔷薇丛；玫瑰丛；灌木
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
carp,"n. 鲤鱼
vi. 吹毛求疵"
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
carol,"n. 颂歌，赞美诗；欢乐之歌
vi. 欢乐地歌唱；唱耶诞颂歌
vt. 欢唱；歌颂"
cargo,n. 货物，船货
boxcar,n. 货车车厢；有盖货车
handcar,n. 手摇车; 小四轮车
cardboard,"n.  硬纸板；纸板箱；卡纸板
adj. 不真实的；硬纸板制的"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
bankcard,"na. (赊账用的)银行信用卡
 银行卡；银行卡类；银行卡号"
timecard,n. 考勤卡；工作时间记录卡
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
careen,"n. 船的倾侧
vt. 使倾侧，使倾斜
vi. 倾侧，倾斜"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
bookcase,n.  书柜，书架
briefcase,n. 公文包
pillowcase,n. 枕头套（等于pillow slip）
showcase,"n. 陈列橱， 陈列柜；显示优点的东西
vt. 使展现；在玻璃橱窗陈列"
staircase,n. 楼梯
suitcase,n.  手提箱；衣箱
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
castaway,"n. 被抛弃的人；坐船遇难者；漂流者
adj. 遭难的；被抛弃的"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
outcast,"n. 流浪的人；被驱逐的人
adj. 被遗弃的；无家可归的；被逐出的"
overcast,"adj. 阴天的；阴暗的；愁闷的
vt. 使沮丧；包缝；遮蔽"
downcast,"n. 倒台；俯视的目光；向下转换
adj. 沮丧的；低垂的；气馁的"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
catsup,n. 番茄酱（等于catchup）
copycat,n. 无主见的人；盲目的模仿者
catnap,"n. 瞌睡；假寐
vi. 打瞌睡；假寐"
catwalk,n. 猫步；狭小通道；桥上人行道
catcall,"n. 嘘声；不满之声；喝倒采
vt. 发嘘声
vi. 发嘘声；发尖叫声"
caveat,n. 警告；中止诉讼手续的申请；货物出门概不退换；停止支付的广告
concave,"n. 凹面
adj. 凹的，凹面的
vt. 使成凹形"
caveman,n. （史前石器时代的）穴居人；野人
crescent,找不到解释
decent,adj. 正派的；得体的；相当好的
ascent,n. 上升；上坡路；登高
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
reticent,adj. 沉默的；有保留的；谨慎的
docent,n. 讲师；讲解员
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
armchair,"n. 扶手椅，单人沙发
adj. 不切实际的"
deckchair,n. 帆布躺椅
chairman,n. 主席，会长；董事长
wheelchair,n. 轮椅
pushchair,n. 折叠式婴儿车
chateau,n. （法国封建时代的）城堡；（尤指法国的）别墅
chatter,"n. 唠叨；饶舌；（动物的）啁啾声；潺潺流水声
vt. 喋喋不休地说；使卡嗒卡嗒作声
vi. 唠叨；喋喋不休；（动物等）吱吱叫"
chatterbox,n. 喋喋不休者；唠叨的人
chitchat,"n. 聊天；闲谈
vi. 闲谈"
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
incite,vt. 煽动；激励；刺激
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
classmate,n. 同班同学
underclass,n. 下层阶级，下层社会；一、二年级学生
middleclass,"na. 中间阶层
 中产阶级；中产阶层；中等的"
cloudburst,n. （突然的）大暴雨；突然涌来的事物
thundercloud,n. 雷云
cloudland,n. 云，云景，仙景
petticoat,"n. 衬裙；裙子
adj. 女性的"
turncoat,n. 变节者；背叛者
housecoat,n. 家常服；长且松宽的家居女服
overcoat,n. 大衣，外套
topcoat,n. 夹大衣；轻便外套
waistcoat,n. 背心； 马甲
income,n. 收入，收益；所得
welcome,"n. 欢迎
vt. 欢迎
adj. 受欢迎的
int. 欢迎"
comedy,n. 喜剧；喜剧性；有趣的事情
newcomer,n.  新来者；新到的移民
overcome,"vt. 克服；胜过
vi. 克服；得胜"
outcome,n. 结果，结局；成果
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
copywriter,n. 广告文字撰稿人
photocopy,"n. 复印件；影印
vt. 影印
vi. 影印，复印"
cornet,n. 短号；圆锥形纸袋
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
cornflakes,n. 玉米片（cornflake的复数）
cornflower,n. 矢车菊
popcorn,n. 爆米花，爆玉米花
broomcorn,n. <美>高粱
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
accost,vt. 勾引；引诱；对…说话；搭讪
costar,"n. 合演者；合演明星
vt. 使联袂主演
vi. 合演"
covert,"n. 隐藏处；树丛；蔽覆羽翮基部的羽毛
adj. 隐蔽的；隐密的；偷偷摸摸的；在丈夫保护下的"
coverage,n. 覆盖，覆盖范围；新闻报道
slipcover,"n. 沙发套；套子；覆盖物
vt. 给…加封套"
undercover,adj. 秘密的，秘密从事的；从事间谍活动的
coward,"n. 懦夫，懦弱的人
adj. 胆小的，懦怯的"
scowl,"n. 愁容；怒容；阴沉沉的样子
vt. 皱眉表示；对…沉下脸
vi. 皱眉；怒视"
cower,vi. 退缩；抖缩；蜷缩；弯腰屈膝
cowhide,"n. 牛皮，牛皮鞭；母牛皮，母牛皮革
vt. 用牛皮鞭抽打"
cowboy,n. 牛仔；牧童；莽撞的人
cowhand,n. （美）牧牛工
crossbar,n. 闩，横木；球门的横木
crosscut,"n. 捷径；横锯
adj. 横切的；横截的
vt. 横越；横穿
vi. 横切"
crossfire,n. 交叉火力；串报
crossroads,n. 十字路口；交叉路口；聚会的中心地点（crossroad的复数形式）
crosstie,n. 枕木
crossover,n. 交叉；天桥；转线路；变向运球过人
crossbred,"adj. 杂种的，杂交的
n. 杂种
v. 杂交繁育(crossbreed的过去式和过去分词)"
crosspiece,n. 闩；横木
crossway,n. 交叉路，岔路
mimicry,n. 模仿，模拟；（动物等）拟态伪装
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
crypt,n. 土窖，地下室；腺窝
descry,vt. 看见；发现；察看
outcry,n. 强烈抗议；大声疾呼；尖叫；倒彩
crybaby,n. 爱哭的人；软弱容易哭的人
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
