man-made,adj. 人造的；人工的；合成的
enemy,"n. 敌人，仇敌；敌军
adj. 敌人的，敌方的"
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
kill,"vt. 杀死；扼杀；使终止；抵消
vi. 杀死
n. 杀戮；屠杀
adj. 致命的；致死的"
oil,"n. 油；石油；油画颜料
vt. 加油；涂油；使融化
vi. 融化；加燃油"
less,"adv. 较少地；较小地；更小地
adj. 较少的；较小的
prep. 减去
n. 较少；较小"
hopeless,adj. 绝望的；不可救药的
china,找不到解释
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
policy,n. 政策，方针；保险单
reuse,"n. 重新使用，再用
vt. 再使用"
bottle,"n. 瓶子；一瓶的容量
vt. 控制；把…装入瓶中
vi. （街头艺人演出后）收拢钱币"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
 扔掉；丢弃；丢掉"
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
cloth,"n. 布；织物；桌布
adj. 布制的"
ton,n. 吨；很多，大量
tons of, 大量；一大堆；许多，无数的，一大堆
rubber,"n. 橡胶；橡皮；合成橡胶；按摩师
adj. 橡胶制成的
vt. 涂橡胶于；用橡胶制造
vi. 扭转脖子看；好奇地引颈而望"
recycling,"n. （资源、垃圾的）回收利用
v. 回收；再循环利用（recycle的现在分词）"
rapid,"n. 急流；高速交通工具，高速交通网
adj. 迅速的，急促的；飞快的；险峻的"
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
grandson,n. 孙子；外孙
granddaughter,n. 孙女；外孙女
