essentially,adv. 本质上；本来
chameleon,n. 变色龙；善变的人；轻浮的人
cobra,n. 眼镜蛇；（澳）头颅
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
creep,"n. 爬行；毛骨悚然的感觉；谄媚者
vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩"
crocodile,n. 鳄鱼
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
tree frog,"na. 雨蛙
 树蛙；动物树蛙；青蛙"
komodo dragon,找不到解释
lizard,n. 蜥蜴；类蜥蜴爬行动物
python,n. 巨蟒；大蟒
rattlesnake,n.  响尾蛇
rattle,"vt. 使发出咯咯声；喋喋不休；使慌乱，使惊慌
vi. 喋喋不休地讲话；发出卡嗒卡嗒声
n. 喋喋不休的人；吓吱声，格格声"
regenerate,"vt. 使再生；革新
adj. 再生的；革新的
vi. 再生；革新"
regeneration,n.  再生，重生；重建
reptile,"n. 爬行动物；卑鄙的人
adj. 爬虫类的；卑鄙的"
salamander,n. 火蜥蜴；蝾螈目动物；耐火的人；烤箱
serpent,n. 蛇（尤指大蛇或毒蛇）；狡猾的人
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
snake,"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进"
grass snake,"n. 游蛇
 草蛇；水游蛇；青草蛇"
a snake in the grass,"na. 隐患；暗藏的敌人
 阴险而伪善的朋友；潜伏的敌人或危险；潜伏的危险或敌人"
tadpole,n. 蝌蚪
toad,n. 蟾蜍；癞蛤蟆；讨厌的家伙
tortoise,n. 龟， 乌龟（等于testudo）；迟缓的人
tortoise shell,"adj. 玳瑁(色)的
 龟甲；乌龟壳；玳瑁壳"
turtle,n. 龟，甲鱼；海龟
sea turtle,"un. 海龟
 成年海龟；海洋龟；海龟坐骑"
venom,"n. 毒液；恶意
vt. 使有毒；放毒"
venomous,adj. 有毒的；恶毒的；分泌毒液的；怨恨的
albatross,n.  信天翁；沉重负担
blackbird,n. 画眉；燕八哥；山鸟类；(欧洲的)乌鸫
canary,n.  金丝雀；淡黄色
chickadee,n. 山雀
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
crow,"n.  乌鸦；鸡鸣；撬棍
vi. 啼叫；报晓"
crow about, 吹嘘；乌鸦
cuckoo,"n. 布谷鸟；杜鹃鸟；傻子；咕咕声
adj. 愚笨的；疯狂的
vt. 不停地重复
vi. 学杜鹃叫"
dove,"n. 鸽子；鸽派人士
v. 潜水（dive的过去式）"
eagle,n. 鹰；鹰状标饰
egret,n. 白鹭
flamingo,n.  火烈鸟
hummingbird,n. 蜂鸟
kingfisher,n.  翠鸟；鱼狗
lark,"n. 云雀；百灵鸟；欢乐
vi. 骑马玩乐；嬉耍
vt. 愚弄"
macaw,n.  金刚鹦鹉；美国棕榈
magpie,"n. 鹊，喜鹊；饶舌的人；有收集零碎东西癖好的人
adj. 鹊的；有收集癖的；斑驳的，混杂的"
mandarin duck,"na. 鸳鸯
 鸳鸯图片；同是鸭科的鸳鸯；动鸳鸯"
mockingbird,n. 模仿鸟；嘲鸫属鸣禽；蓝嘲鸫（等于mocking thrush）
mynah,n. 八哥
nightingale,n. 夜莺
ostrich,n. 鸵鸟；鸵鸟般的人
owl,n. 猫头鹰；枭；惯于晚上活动的人
night owl,"n. 夜猫子；喜欢熬夜的人
 猫头鹰；夜游神；深夜不睡的人"
parrot,"n. 鹦鹉；学舌者，应声虫；机械模仿别人的人
vt. 机械地模仿"
peacock,"n. 孔雀；雄孔雀；爱虚荣的人
vi. 炫耀；神气活现地走"
pelican,n.  鹈鹕
penguin,n. 企鹅；空军地勤人员
emperor penguin, 皇帝企鹅；帝王企鹅；皇企鹅
pheasant,n. 野鸡；雉科鸟
robin,"n. 知更鸟
鸫"
cock robin,"na. 雄知更鸟；(知更鸟一样)灵巧的矮子
 知更鸟乐队；红胸鸲"
seagull,n. 海鸥
skylark,"n. 云雀；发疯般的胡闹
vi. 开玩笑，胡闹"
sparrow,n. 麻雀；矮小的人
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
swallow up,"na. 吞下去；卷进去；耗尽
 吞没；淹没；吞噬"
swan,"n. 天鹅；天鹅星座
vi. 游荡，闲荡"
black swan," 黑天鹅(Cygnus atratus,产于澳洲); 稀世之珍，稀有之物，珍品"
turtle dove,"n. 斑鸠
 欧斑鸠；斑鸠宝宝；探头探脑的黑斑鸠"
vulture,n. 秃鹰，秃鹫；贪婪的人
whippoorwill,n. 北美夜鹰
wild goose,"na. 雁
 大雁；野鹅；雁与守林者"
woodpecker,n.  啄木鸟
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
gap in ...,找不到解释
gap between ...,找不到解释
gap among ...,找不到解释
income gap, 收入差距；收入分配差距；收入差别
crevice,n. 裂缝；裂隙
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
original topic,找不到解释
original handwriting,找不到解释
an original viewpoint,找不到解释
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
primal,"n. 被压抑童年情绪的释放
adj. 原始的；主要的；最初的
vt. 释放（被压抑的童年情绪）"
origin,n. 起源；原点；出身；开端
originate,"vt. 引起；创作
vi. 发源；发生；起航"
aboriginal,"n. 土著居民；土生生物
adj. 土著的；原始的"
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
go against the grain, 不合；令人讨厌或不高兴；背道而驰
particle,n. 颗粒； 质点；极小量；小品词
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
grainy,adj. 粒状的；木纹状的；多粒的；有纹理的
totally,adv. 完全地
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
plug in,"v. 插入；插插头；插上
 插件；连接；插上电源"
unplug,vt. 去掉…的障碍物；拔去…的塞子或插头
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
chemical,"n. 化学制品，化学药品
adj. 化学的"
chemist,n. 化学家；化学工作者；药剂师；炼金术士
chemistry,n. 化学；化学过程
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
liquefy,vt. 液化；溶解
eliminate,vt. 消除；排除
solvable,adj. 可以解决的；可以解的；可溶的
solvent,"n. 溶剂；解决方法
adj. 有偿付能力的；有溶解力的"
percolate,"vt. 使渗出；使过滤
vi. 过滤；渗出；浸透
n. 滤过液；渗出液"
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
groundwater,n. 地下水
consolidation,n. 巩固；合并；团结
unconsolidated,adj. 疏松的；松散的
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
take place,"na. 发生；举行
 产生；多指通过人为安排的发生；进行"
afterwards,adv. 后来；然后
beforehand,"adj. 提前的；预先准备好的
adv. 事先；预先"
cleft,"adj. 分裂的；劈开的
n. 裂缝；龟裂
v. 劈开；分开（cleave的过去式和过去分词）"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
fissure,"n. 裂缝；裂沟（尤指岩石上的）
vt. 裂开；分裂
vi. 裂开；分裂"
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
hiatus,n. 裂缝，空隙；脱漏部分
rift,"n. 裂缝；不和； 裂口
vt. 使断裂；使分开
vi. 裂开"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
biochemistry,"n. 生物化学
生物化学过程"
chemical agent,"un. 化学药剂；化学试剂；化学剂；饼形天线
 化学制剂；化学战剂；化学元"
chemical change,"un. 化学变化
 即系有化学改变；化学结构改变；鍖栧"
chemical property,"un. 化学性质；化学特性
 化学性能；物质性质；宝贝性质"
chemical reaction,"na. 化学反应
 化学反应性质；化学作用；化学反应法"
combination,n. 结合；组合；联合； 化合
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
copper,"n. 铜；铜币；警察
adj. 铜制的
vt. 镀铜"
hydrocarbon,n.  碳氢化合物
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
mercury,n. 水星
neutralize,"vt. 抵销；使…中和；使…无效；使…中立
vi. 中和；中立化；变无效"
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
neutrality,n. 中立；中性；中立立场
sodium,n.  钠（11号元素，符号 Na）
tin,"n. 锡；罐头，罐；马口铁
adj. 锡制的
vt. 涂锡于；给…包马口铁"
zinc,"n. 锌
vt. 镀锌于…; 在…上镀锌"
mutual,adj. 共同的；相互的，彼此的
mutual support,"un. 相互支援
 相互支持；互相支援；互助"
mutually,adv. 互相地；互助
mutuality,n. 相互关系，相关；亲密
facilitate,vt. 促进；帮助；使容易
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
finance director,"un. 财务经理
 财务总监；某商业分销公司财务总监；财务董事"
financial,adj. 金融的；财政的，财务的
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
stock exchange,"n. 证券交易（所）；股票交易（所）
 证券交易所；股票交易所；证券营业部"
device,n. 装置；策略；图案
wireless device,"un. 无线电设备
 无线设备；无线装置；无线装置的产品"
equipment,n. 设备，装备；器材
apparatus,n. 装置，设备；仪器；器官
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
shipment,n. 装货；装载的货物
shipment cost, 运输费用
access to, 接近；进入；通向…的入口
adequate preparation, 充分准备；充分的准备；充足准备
be acquainted with,"na. 了解；与…相识
 熟悉；开始认识；开始了解"
business cycle,"n. 商业周期；经济周期
 景气循环；商业循环；景气周期"
business letter,"un. 商业书信
 商务信函；商业信函；商业信件"
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
legal channel,找不到解释
cooperation,n. 合作，协作； 协力
cooperation partner,找不到解释
dealer,"n. 经销商；商人
n. 发牌员
n. 毒品贩子，贩毒者"
retail dealer, 零售商
enclose,vt. 围绕；装入；放入封套
enclose with,"v. 附上
 将装入；围起；将…与…封入同一封"
essential factor,"un. 要素
 要因；构成要素；真谛"
establish,"vi. 植物定植
vt. 建立；创办；安置"
establishment,n. 确立，制定；公司；设施
expansion,n. 膨胀；阐述；扩张物
expansion project,"un. 扩建计划；扩建工程
 扩建项目；扩展计划；扩充型项目"
exporter,n. 出口商；输出国
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
financial gain,"un. 经济获益
 钱财增加；财务收益；经济收入"
importer,n. 进口商；输入者
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
loyalty,n. 忠诚；忠心；忠实；忠于…感情
brand loyalty,"un. 商标忠实性
 品牌忠诚度；对品牌的忠实；对牌子忠诚"
lucrative,adj. 有利可图的，赚钱的；合算的
lucrative market,找不到解释
manufacturer,n. 制造商； 厂商
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
mutual benefit,"un. 互利
 互惠互利；互利互惠；相互的利益"
negotiation,n. 谈判；转让；顺利的通过
business negotiation,"un. 洽谈业务
 商务谈判；交易磋商；商业谈判"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
a substantial salary,找不到解释
supplier,n. 供应厂商，供应国；供应者
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
strategy,n. 战略，策略
target audience, 目标受众；目标观众；目标对象
trade price,"na. 批发价
 同行价；交易价格；批发价格"
transnational,adj. 跨国的；超越国界的
transnational corporations, 跨国公司；跨国企业；跨国企业集团
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
trust in,"v. 信任；相信
 对……的信赖；对…的信任；信靠"
win-win situation, 双赢局面；双赢的局面；双赢情境
actuals,  实际货物
barge,"n. 驳船；游艇
vt. 用船运输；蛮不讲理地闯入或打扰某事物
vi. 蹒跚；闯入"
cabotage,n. （尤指给外国运输工具的）沿海贸易权，沿海航行权，国内航空运输
cargo,n. 货物，船货
cargo receipt,"un. 陆运收据
 货物收据；货运收据；货物承运收据"
carrier,n.  载体；运送者；带菌者；货架
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
consign,vt. 交付；托运；寄存；把…委托给
consign ... to,找不到解释
coastal trading,沿海交易
delivery,n.  交付；分娩；递送
delivery deadline, 交货期；交稿日期；传递时限
depot,"n. 仓库；停车场；航空站
adj. 药性持久的
vt. 把…存放在储藏处"
container depot,"un. 集装箱装卸站
 货柜箱装卸站；集装箱港口；集装箱卸站"
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
fleet,"n. 舰队；港湾；小河
adj. 快速的，敏捷的
vt. 消磨
vi. 飞逝；疾驰；掠过"
fleeting,"adj. 飞逝的；转瞬间的
v. 迅速移动（fleet的ing形式）"
forwarder,n. 运送者，促进者；传送装置
freight forwarder,"un. 货运转运商；运输经纪人
 货运代理；货运代理人；货代"
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
freightage,n. 货运
full container load,"un. 整箱货
 整个集装箱装满；整柜货；集装箱整装或整交"
haulage,n. 拖运；拖曳；运费
haulage company,货运公司
load with,"v. 装载着
 把……装载到……上；装载某物；满载着"
logistic,adj. 后勤学的； 符号逻辑的
logistic management, 物流管理；运筹管理；后勤管理
long haul,"n. 费时费力的工作
 长途运输；长程；拖斗"
physical distribution,"un. 物资调动；实体分配；物资调运
 物流；实物配送；实物分配"
port dues,"un. 港口税；港口费用
 港务费；入港税；港监费"
quay,n. 码头
quay shed,"码头仓库,前方仓库"
shipload,n. 船货；船舶运载量
shipping,"n.  船舶，船舶吨数；海运；运送
v. 运送，乘船（ship的ing形式）"
shipping container,"un. 运输容器；船运集装箱
 海运集装箱；运输用集装箱；货运纸箱"
storage,n. 存储；仓库；贮藏所
storage fee, 仓费；仓储费；保管费
stow,vt. 装载；收藏；使暂留；堆装
stowage,n. 装载；装载物；装载方法
unload,"vt. 卸；摆脱…之负担；倾销
vi. 卸货；退子弹"
unload material,找不到解释
wharfage,n. 码头；码头费；码头业务
distrust,"n. 不信任
vt. 不信任
怀疑"
distrustful,adj. 怀疑的；不信任的；可疑的
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
take ... into account,"na. 考虑
 把…考虑进去；考虑到；顾及"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
accounting,"n. 会计，会计学；账单
v. 解释（account的ing形式）；叙述"
accountant,n. 会计师；会计人员
accountable,adj. 有责任的；有解释义务的；可解释的
willingness,n. 乐意；心甘情愿；自动自发
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）"
willingly,adv. 欣然地；愿意地，乐意地
immensity,n. 巨大；无限；广大
immense,adj. 巨大的，广大的；无边无际的；非常好的
immensely,adv. 极大地；无限地；广大地；庞大地
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
contactable, 联系性；可联系
intact,adj. 完整的；原封不动的；未受损伤的
irresistible,adj. 不可抵抗的；不能压制的；极为诱人的
resistible,adj. 可抵抗的
balance of trade,"n. 贸易差额；净出口
 贸易平衡；贸易余额；国际贸易差额"
barrier to trade, 贸易壁垒；贸易障碍；森严贸易壁垒
commodity inspection,"un. 商品检验
 商检；进出口商品检验；商品需要做商检"
cross-border transaction,找不到解释
customs,n. 海关；风俗（custom的复数）；习惯；关税
customs union,"n. 关税同盟（缔约国按统一关税进口商品）
 关税联盟；海关同盟；关税聯盟"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
domestic market,"un. 内销市场；国内市场
 国内市场人员；国内销售；国内市场条件分析"
economic integration,"un. 经济一体化
 经济全球化；经济整合；经济融合"
expand market,扩展市场
export license,"un. 出口许可证
 进出口许可证；出口证；出口配额证"
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
exporter,n. 出口商；输出国
export rebates,出口减税
floating,"adj. 流动的；漂浮的，浮动的
v. 漂浮（float的现在分词）"
free-trade area,自由贸易区
global trade,"un. 全世界范围的贸易
 全球贸易；国际贸易；全球贸易动态"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
import duty,"n. 进囗税
 进口税；进口关税；进口关税险"
import license,"n. 输入许可证
 进口许可证；进口许口证；许可证号码"
importer,n. 进口商；输入者
legal importer,找不到解释
interest rate,"n. 利率
 利息率；贷款利率；贷记利息"
intergovernmental,adj. 政府间的
intergovernmental agreement,找不到解释
international trade,"n. 国际贸易
 国际贸易学；对外贸易；国际贸易部"
invoice,"n. 账单，发货单，收款请求
vt. 开发票；记清单"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
monetary system,"n. 币制
 货币制度；货币体系；货币系统"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
overseas sales, 海外销售；国外业务；海外贩卖
quota,n. 配额；定额；限额
ration,"n. 定量；口粮；配给量
vt. 配给；定量供应"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
quotation,n.  报价单；引用语；引证
Silk Road,"n. 丝绸之路
 丝路；北京丝绸之路；丝路餐厅"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
inventory,n. 存货，存货清单；详细目录；财产清册
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
tariff,"n. 关税表；收费表
vt. 定税率；征收关税"
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
trade deficit,"n. 贸易逆差
 贸易赤字；入超；贸易顺差"
trade restriction, 贸易(商业)限制
trade surplus,"n. 贸易顺差
 贸易盈余；出超；贸易出超"
trade route,"n. （旧时的）商队路线
 商路；商队的路线；贸易路线"
treaty,n. 条约，协议；谈判
negotiation,n. 谈判；转让；顺利的通过
voucher,"n. 收据；证人；保证人；证明者；代金
vt. 证实...的可靠性"
vouch,"vi. 保证；证明；确定
vt. 担保；证明；传出庭作证"
WTO,abbr. 世界贸易组织（World Trade Organization）；世界旅游组织（World Tourism Organization）；世界厕所组织（World Toilet Organization）；华沙条约组织（Warsaw Treaty Organization）
World Trade Organization, 世界贸易组织；世贸组织；我国加入世界贸易组织
Argentina,n. 阿根廷（位于拉丁美洲）
Australia,n. 澳大利亚，澳洲
Australian,"adj. 澳大利亚的，澳大利亚人的
n. 澳大利亚人"
Brazil,n. 巴西（拉丁美洲国家）
Canada,n. 加拿大（北美洲国家）
Canadian,"n. 加拿大人
adj. 加拿大（人）的"
Chile,n. 智利（南美洲国家）
Columbia,n. 哥伦比亚
Congo,n. 刚果（位于非洲中部）
Denmark,n. 丹麦（欧洲国家）
Egypt,n. 埃及（非洲国家）
ancient Egypt,找不到解释
Finland,n. 芬兰（欧洲）
France,n. 法国；法郎士（姓氏）
French,"n. 法国人；法语
adj. 法国的；法语的；法国人的"
Germany,n. 德国
German,"n. 德语；德国人
adj. 德国的；德语的，德国人的"
Greece,希腊（欧洲南部国家）
Greek myth,找不到解释
Guinea,找不到解释
India,n. 印度（南亚国家）
Indian,"n. 印度人；印第安人；印第安语
adj. 印度的；印第安人的；印第安语的"
Indonesia,n. 印尼，印度尼西亚（东南亚岛国）
Iran,n. 伊朗（亚洲国家）
Ireland,n. 爱尔兰
Italy,n. 意大利（欧洲南部国家）
Italian,"n. 意大利人；意大利语
adj. 意大利的；意大利文化的；意大利语的"
Japan,n. 日本（东亚国家名）
Japanese,"n. 日本人；日语
adj. 日本（人）的；日语的"
Libya,n. 埃及以西的北非地方古名；利比亚
Malaysia,n. 马来西亚；马来群岛
Mexico,n. 墨西哥
Morocco,n. 摩洛哥（非洲一国家名）； 摩洛哥皮革
Netherlands,n. 荷兰（形容词Netherlandish）；地区名
Nigeria,n. 尼日利亚（位于非洲）
North Korea,"n. 朝鲜；北朝鲜；朝鲜民主主义人民共和国；位于亚洲东部
 韩国；C-朝鲜；朝鲜共和国"
Pakistan,n. 巴基斯坦（南亚国家名）
Peru,n. 秘鲁（拉丁美洲国家名）
Philippines,n. 菲律宾
Portugal,n. 葡萄牙（欧洲西南部国家）
Singapore,n. 新加坡
South Africa,"n. 南非；位于非洲南部
 南非共和国；南非地区；南非共和国大使馆"
South Korea,找不到解释
Spain,n. 西班牙
Spanish,"n. 西班牙语；西班牙人
adj. 西班牙的；西班牙人的；西班牙语的"
Sweden,n. 瑞典（欧洲国家）
Switzerland,n. 瑞士（欧洲国家）
Thailand,n. 泰国（东南亚国家名）
The United Kingdom,找不到解释
Turkey,找不到解释
Turkish,"n. 土耳其语
adj. 土耳其人的，土耳其语的；土耳其的；突厥诸语言的"
United States,"n. 美国
 美利坚合众国；国家；美国号"
Vietnam,n. 越南（东南亚国家）
Vietnam War, 越南战争；越战；越南战争资料
conquest,n. 征服，战胜；战利品
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
conqueror,n. 征服者；胜利者
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数"
special troop,找不到解释
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
province,n. 省；领域；职权
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
provincial,"n. 粗野的人；乡下人；外地人
adj. 省的；地方性的；偏狭的"
fortification,n.  设防； 防御工事；加强；配方
fortify,"vt. 加强；增强；（酒）的酒精含量；设防于
vi. 筑防御工事"
participation,n. 参与；分享；参股
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
participator,"n. 参与者；合作者；分享者
adj. 参加的"
admiral,n. 海军上将；舰队司令；旗舰
admiralty,找不到解释
air force,"n. 空军
 美国空军；空军部队基地；长空雄鹰"
air-defense unit,找不到解释
allied troop,找不到解释
armored,adj. 装甲的
armored forces,na. 装甲部队
artilleryman,n. 炮兵；炮手
barrack,"n. 营房；兵舍
vt. 使…驻兵营内；向…提供营房
vi. 住入营房"
barracking,"n. 高喊助威
v. 呐喊助威；住入营房（barrack的现在分词）"
captain,"n. 队长，首领；船长；上尉；海军上校
vt. 指挥；率领"
cavalry,n. 骑兵；装甲兵；装甲部队
cavalryman,n. 骑兵；地面机械化部队
colonel,n. 陆军上校
senior colonel, 大校；高级上校；陆军大校
commander,n. 指挥官；司令官
commander in chief,"n. 总司令；(海军的)舰队司令
 三军统帅；白宫女总统；最高统帅"
commando,n. 突击队，突击队员
commando of marines,找不到解释
convoy,"n. 护送；护卫；护航队
vt. 护航；护送"
death squad,"n. （受命于政府谋杀政敌等的）处决小队
 杀人小队；敢死队；死亡队"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
gunner,n. 炮手，枪手；火炮瞄准手；经常投篮的投手
infantry,n. 步兵；步兵团
infantryman,n. 步兵
lieutenant,n. 中尉；副官；助理人员
lieutenant colonel,"n. （美国）陆军中校；（英国）陆军中校
 中校一级；空军中校；上校"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
marine radar,"un. 航海雷达；船用雷达
 海用雷达；供应船舶海事雷达；海事雷达"
marshal,"n. 元帅；司仪
vt. 整理；引领；编列
vi. 排列"
naval,adj. 海军的；军舰的
naval officer,"na. 海军军官；海关人员
 海军将领；海军官员"
paratrooper,n. 伞兵
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
military rank, 军衔；军阶；都尉
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
senior service,"un. 一种香烟的商标名
 高级服务；资深军种；架子全堆著海军牌香菸"
sentry,"n. 哨兵；岗哨
vi. 放哨
vt. 设岗哨"
sentinel,"n. 哨兵
vt. 守卫，放哨"
sergeant major,"n. 准尉副官（英国陆军中的团行政助理）
 军士长；六间雀鲷；高级军士长"
sniper,n. 狙击兵
snipe,"n. 狙击； 鹬；香烟屁股；被开玩笑的人物
vi. 狙击； 伏击；抨击；猎鸟；诽谤
vt. 狙击"
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
foot soldier,"n. 步兵；（组织中从事乏味而不担责任，但又不可或缺的）群众员工
 战士；排头兵"
squadron,"n. 空军中队；一群；骑兵中队；分遣队；小舰队
vt. 把…编成中队"
squad,"n. 班；小队；五人组（篮球队的非正式说法）
vt. 把…编成班；把…编入班"
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
position title,职务称呼
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
war veterans, 战役老兵；经历过战争的老战士；退伍的参展军人
warlord,n. 军阀
aim at the target,找不到解释
air war, 空战；空中大战
airfield,n. 飞机场
ambush,"n. 埋伏，伏击；伏兵
vt. 埋伏，伏击
vi. 埋伏"
lay an ambush for,设下埋伏(等待…)
annihilate,"vt. 歼灭；战胜；废止
vi. 湮灭；湮没"
annihilation,n. 灭绝；消灭
armistice,n. 停战，休战；休战协议
