nursery,n. 苗圃；托儿所；温床
automation,n. 自动化；自动操作
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
penalty,n. 罚款，罚金；处罚
courage,n. 勇气；胆量
courageous,adj. 有胆量的，勇敢的
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
courteous,adj. 有礼貌的；谦恭的
chatter,"n. 唠叨；饶舌；（动物的）啁啾声；潺潺流水声
vt. 喋喋不休地说；使卡嗒卡嗒作声
vi. 唠叨；喋喋不休；（动物等）吱吱叫"
pilgrim,"n. 朝圣者；漫游者；（美）最初的移民
vi. 去朝圣；漫游"
scandal,n. 丑闻；流言蜚语；诽谤；公愤
haunt,"n. 栖息地；常去的地方
vt. 常出没于…；萦绕于…；经常去…
vi. 出没；作祟"
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
leakage,n. 泄漏；渗漏物；漏出量
primacy,n. 首位；卓越；大主教的职位
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
spouse,"n. 配偶
vt. 和…结婚"
dearth,n. 缺乏；饥馑；粮食不足
diagnosis,n. 诊断
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
rope,"n. 绳，绳索
vt. 捆，绑
vi. 拧成绳状"
path,n. 道路；小路；轨道
award,"n. 奖品；判决
vt. 授予；判定"
mainland,"n. 大陆；本土
adj. 大陆的；本土的"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往"
lawful,adj. 合法的；法定的；法律许可的
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
safety,n. 安全；保险；安全设备；保险装置；安打
network,n. 网络；广播网；网状物
surprisingly,adv. 惊人地；出人意料地
tool,"n. 工具，用具；器械，机床；手段
vt. 用工具给……加工
vi. 使用工具；用机床装备工厂"
convenient,adj. 方便的；适当的；近便的；实用的
dot,"n. 点，圆点；嫁妆
vt. 加小点于
vi. 打上点"
hunger,"n. 饿，饥饿；渴望
vt. 使……挨饿
vi. 渴望；挨饿"
explanation,n. 说明，解释；辩解
explanatory,adj. 解释的；说明的
richness,n. 丰富；富裕；肥沃；华美
pocket,"n. 口袋；钱；容器
adj. 小型的，袖珍的；金钱上的
vt. 隐藏；忍受；将…放入衣袋
vi. 形成袋或囊"
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
naturalistic,adj. 自然的；自然主义的；博物学的
climate,n. 气候；风气；思潮；风土
tiny,adj. 微小的；很少的
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
shortly,adv. 立刻；简短地；唐突地
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
birth,n. 出生；血统，出身；起源
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
supportive,adj. 支持的；支援的；赞助的
prewar,"adj. 战前的
adv. 在战前"
seriously,adv. 认真地；严重地，严肃地
passage,n. 一段（文章）；走廊；通路
environmental,adj. 环境的，周围的；有关环境的
tear,"vi. 流泪, 撕破
n. 眼泪, （撕破的）洞或裂缝, 撕扯
vt. 撕掉, 扯下, 扰乱"
dig,"n. 戳，刺；挖苦
vi. 挖掘
vt. 挖，掘；探究"
sigh,"n. 叹息，叹气
vt. 叹息，叹气
vi. 叹息，叹气"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
rewrite,"n. 重写或改写的文稿；改写的作品
vt. 改写；重写
vi. 改写；重写"
truck,"n. 卡车；交易；手推车
adj. （美）运货汽车的
vt. 交易；以卡车运输
vi. 驾驶卡车；以物易物"
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
policy,n. 政策，方针；保险单
introduction,n. 介绍；引进；采用；入门；传入
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
thought,"n. 思想；思考；想法；关心
v. 想，思考；认为（think的过去式和过去分词）"
thoughtful,adj. 深思的；体贴的；关切的
unthinkable,adj. 不能想象的；过分的
thoughtless,adj. 轻率的；欠考虑的；考虑不周的；不顾及他人的
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
cite,vt. 引用；传讯；想起；表彰
widely,adv. 广泛地
widen,"vt. 放宽
vi. 变宽"
sadness,n. 悲哀
gulf,"n. 海湾；深渊；分歧；漩涡
vt. 吞没"
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
tourism,n. 旅游业；游览
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
technology,n. 技术；工艺；术语
technologist,n. 技术专家；工艺学家
traditional,adj. 传统的；惯例的
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆"
reality,n. 现实；实际；真实
realistic,adj. 现实的；现实主义的；逼真的；实在论的
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
preparation,n. 预备；准备
unprepared,adj. 无准备的；即席的；尚未准备好的
dirt,n. 污垢，泥土；灰尘，尘土；下流话
uncertainty,n. 不确定，不可靠
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
political,adj. 政治的；党派的
politician,n. 政治家，政客
apartment,n. 公寓；房间
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
mirror,"n. 镜子；真实的写照；榜样
vt. 反射；反映"
programme,"n. 计划，规划；节目；程序
vt. 规划；拟…计划
vi. 编程序；制作节目"
publicly,adv. 公然地；以公众名义
strongly,adv. 强有力地；坚强地；激烈地；气味浓地
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
imagination,n.  想象力；空想；幻想物
imaginative,adj. 富于想象的；有创造力的
unimaginable,adj. 不可思议的；难以想像的
imaginary,adj. 虚构的，假想的；想像的；虚数的
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
shorten,"vt. 缩短；减少；变短
vi. 缩短；变短"
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
helpless,adj. 无助的；无能的；没用的
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
reduction,n. 减少；下降；缩小；还原反应
youth,n. 青年；青春；年轻；青少年时期
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
electricity,n. 电力；电流；强烈的紧张情绪
golden,adj. 金色的，黄金般的；珍贵的；金制的
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
create,vt. 创造，创作；造成
creation,n. 创造，创作；创作物，产物
creativity,n. 创造力；创造性
recreate,"vt. 再创造；使得到娱乐/消遣
vi. 娱乐；消遣"
error,n. 误差；错误；过失
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
adviser,n. 顾问；劝告者；指导教师（等于advisor）
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
customary,"n. 习惯法汇编
adj. 习惯的；通常的"
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
technical,adj. 工艺的，科技的；技术上的；专门的
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
fee,"n. 费用；酬金；小费
vt. 付费给……"
actual,adj. 真实的，实际的；现行的，目前的
client,n.  客户；顾客；委托人
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
edit,"vt. 编辑；校订
n. 编辑工作"
editorial,"n. 社论
adj. 编辑的；社论的"
editorship,n. 编辑；校订；编辑或主笔地位
beneath,"prep. 在…之下
adv. 在下方"
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
development,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）； 显影
undeveloped,adj. 未开发的；不发达的；未充分发育的
system,n. 制度，体制；系统；方法
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
final,"n. 决赛；期末考试；当日报纸的末版
adj. 最终的；决定性的；不可更改的"
happiness,n. 幸福
photograph,"n. 照片，相片
vt. 为…拍照；使深深印入
vi. 拍照；在照片上显得"
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
ability,n. 能力，能耐；才能
unable,adj. 不会的，不能的； 无能力的；不能胜任的
inability,n. 无能力；无才能
centre,"n. 中心
adj. 中央的
vt. 集中；将…放在中央
vi. 以…为中心"
centralise,vt. 把…集中起来；形成中心
centralisation,n. 集中
neighbour,"n. n. 邻居;同胞；仁慈的人
vt. 邻接
vi. 住在邻近；毗邻；友善，和睦
adj. 邻居的；邻近的"
neighbourhood,n. 邻近；周围；邻居关系；附近一带
importance,n. 价值；重要；重大；傲慢
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
disagree,vi. 不同意；不一致；争执；不适宜
colour,"n. 颜色；风格；气色，面色；外貌
vt. 把…涂颜色，粉饰；歪曲；使脸红
vi. 变色"
unusual,adj. 不寻常的；与众不同的；不平常的
percentage,n. 百分比；百分率，百分数
addition,n. 添加； 加法；增加物
additional,adj. 附加的，额外的
loss,n. 减少；亏损；失败；遗失
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
leadership,n. 领导能力；领导阶层
mislead,vt. 误导；带错
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地"
campus,n. （大学）校园；大学，大学生活；校园内的草地
upward,"adj. 向上的；上升的
adv. 向上"
worth,"n. 价值；财产
adj. 值…的"
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
risky,adj. 危险的；冒险的；（作品等）有伤风化的
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
solution,n. 解决方案；溶液；溶解；解答
enjoyable,adj. 快乐的；有乐趣的；令人愉快的
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
unlikely,"adj. 不太可能的；没希望的
adv. 未必"
likelihood,n. 可能性，可能
studio,n. 工作室； 演播室；画室；电影制片厂
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
total,"n. 总数，合计
adj. 全部的；完全的；整个的
vt. 总数达
vi. 合计"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
survival,n. 幸存，残存；幸存者，残存物
port,"n. 港口，口岸；（计算机的）端口；左舷；舱门
vt. 持（枪）；左转舵
vi. 转向左舷"
adulthood,n. 成年；成人期
roof,"n. 屋顶；最高处，顶部；最高限度
vt. 给…盖屋顶，覆盖"
era,n. 时代；年代；纪元
grateful,adj. 感谢的；令人愉快的，宜人的
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
graph,"n. 图表；曲线图
vt. 用曲线图表示"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据"
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
attractive,adj. 吸引人的；有魅力的；引人注目的
attraction,n. 吸引，吸引力；引力；吸引人的事物
geology,n. 地质学；地质情况
geological,adj. 地质的，地质学的
disappoint,vt. 使失望
disappointment,n. 失望；沮丧
description,n. 描述，描写；类型；说明书
ladder,"n. 阶梯；途径；梯状物
vi. 成名；发迹
vt. 在……上装设梯子"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
origin,n. 起源；原点；出身；开端
simply,adv. 简单地；仅仅；简直；朴素地；坦白地
simplify,vt. 简化；使单纯；使简易
encouragement,n. 鼓励
forth,adv. 向前，向外；自…以后
formation,n. 形成；构造；编队
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
instruct,vt. 指导；通知；命令；教授
instruction,n. 指令，命令；指示；教导；用法说明
ceiling,n. 天花板；上限
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
seemingly,adv. 看来似乎；表面上看来
responsible,adj. 负责的，可靠的；有责任的
responsibility,n. 责任，职责；义务
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
regularity,n. 规则性；整齐；正规；匀称
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
personality,n. 个性；品格；名人
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
bay,"n. 海湾；狗吠声
vt. 向…吠叫
vi. 吠叫；大声叫嚷"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
weakness,n. 弱点；软弱；嗜好
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
vitamin,n.  维生素； 维他命
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
debt,n. 债务；借款；罪过
improvement,n. 改进，改善；提高
basic,"n. 基础；要素
adj. 基本的；基础的"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
employee,n. 雇员；从业员工
employment,n. 使用；职业；雇用
unemployment,n. 失业；失业率；失业人数
unemployed,adj. 失业的；未被利用的
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
innermost,adj. 内心的；最里面的，最深处的；秘密的
disappearance,n. 消失；不见
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
wheel,"n. 车轮；方向盘；转动
vt. 转动；使变换方向；给…装轮子
vi. 旋转；突然转变方向；盘旋飞行"
opportunity,n. 时机，机会
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
idealism,n. 唯心主义，理想主义；理念论
possibility,n. 可能性；可能发生的事物
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
judgement,n. 意见；判断力； 审判；评价
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
patience,n. 耐性，耐心；忍耐，容忍
relaxation,n. 放松；缓和；消遣
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
billboard,"n. 广告牌；布告板
vt. 宣传；介绍"
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
beneficial,adj. 有益的，有利的；可享利益的
rely,vi. 依靠；信赖
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
reliability,n. 可靠性
reliant,adj. 依赖的；可靠的；信赖的
somehow,adv. 以某种方法；莫名其妙地
failure,n. 失败；故障；失败者；破产
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
flavour,"n. 香味；滋味
vt. 给……调味；给……增添风趣"
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
exist,vi. 存在；生存；生活；继续存在
existence,n. 存在，实在；生存，生活；存在物，实在物
physically,adv. 身体上，身体上地
role,n. 角色；任务
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
amaze,vt. 使吃惊
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
settlement,n. 解决，处理； 结算；沉降；殖民
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
discovery,n. 发现，发觉；被发现的事物
prove,"vi. 证明是
vt. 证明；检验；显示"
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
affordable,adj. 负担得起的
visual,adj. 视觉的，视力的；栩栩如生的
visualise,"vt. 使…可见；使…具体化（等于visualize）
vi. 想象；显现"
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
arrival,n. 到来；到达；到达者
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
sudden,"n. 突然发生的事
adj. 突然的，意外的；快速的"
productivity,n. 生产力；生产率；生产能力
production,n. 成果；产品；生产；作品
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
counterproductive,adj. 反生产的；使达不到预期目标的
producer,n. 制作人，制片人；生产者；发生器
data,n. 数据（datum的复数）；资料
growth,n. 增长；发展；生长；种植
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
disconnect,"vt. 拆开，使分离
vi. 断开"
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
teller,n. （美）出纳员；讲述者；讲故事者；计票员
downward,"adj. 向下的，下降的
adv. 向下"
tobacco,n. 烟草，烟叶；烟草制品；抽烟
opera,n. 歌剧；歌剧院；歌剧团
rocky,adj. 岩石的，多岩石的；坚如岩石的；摇晃的；头晕目眩的
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
location,n. 位置（形容词locational）；地点；外景拍摄场地
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
profitable,adj. 有利可图的；赚钱的；有益的
afterwards,adv. 后来；然后
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
response,n. 响应；反应；回答
indicate,vt. 表明；指出；预示；象征
indicator,n. 指示器； 指示剂； 指示符；压力计
indication,n. 指示，指出；迹象；象征
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
friendliness,n. 友谊；亲切；亲密
seasonal,adj. 季节的；周期性的；依照季节的
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
require,vt. 需要；要求；命令
outcome,n. 结果，结局；成果
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
recovery,n. 恢复，复原；痊愈；重获
equip,vt. 装备，配备
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
tailor,"n. 裁缝
vt. 剪裁；使合适
vi. 做裁缝"
source,n. 来源；水源；原始资料
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
region,n. 地区；范围；部位
capable,adj. 能干的，能胜任的；有才华的
capability,n. 才能，能力；性能，容量
direction,n. 方向；指导；趋势；用法说明
enable,vt. 使能够，使成为可能；授予权利或方法
indirect,adj. 间接的；迂回的；非直截了当的
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
situation,n. 情况；形势；处境；位置
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
argument,n. 论证；论据；争吵；内容提要
reshape,vt. 改造；再成形
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
instrument,n. 仪器；工具；乐器；手段；器械
instrumental,"n. 器乐曲；工具字，工具格
adj. 乐器的；有帮助的；仪器的，器械的"
load,"n. 负载，负荷；工作量；装载量
vi.  加载；装载；装货
vt. 使担负；装填"
audience,n. 观众；听众；读者；接见；正式会见；拜会
viewer,n. 观察者；观看者；观众； 指示器
tower,"n. 塔；高楼；堡垒
vi. 高耸；超越"
moreover,adv. 而且；此外
legal,adj. 法律的；合法的；法定的；依照法律的
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
communication,n. 通讯， 通信；交流；信函
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
industrialisation,n. 工业化
valley,n. 山谷；流域；溪谷
