grid,n. 网格；格子，栅格；输电网
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
self-funded,"自筹资金的
自费的"
self-sponsored,
demographic,adj. 人口统计学的；人口学的
tribe,n. 部落；族；宗族；一伙
journal,n. 日报，杂志；日记；分类账
cram,"n. 死记硬背；极度拥挤
adj. 填鸭式学的
vi. 狼吞虎咽地吃东西；死记硬背功课
vt. 填满，塞满；死记硬背；猛吃"
vigorous,adj. 有力的；精力充沛的
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
be heavy on, 吃得多；在……耗费量大；需要大量的某物
infrastructure,n. 基础设施；公共建设；下部构造
vocational,adj. 职业的，行业的
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
watcher,n. 观察者；看守人；哨兵；（美）选举监票员
opine,"vt. 以为；想
vi. 以为；想；表示意见"
transition,n. 过渡；转变； 转换；变调
in line with,"na. 和…成一直线；和…一致
 符合；按照；跟…一致"
by extension, 按扩展名；经扩展；由此可推论
skepticism,n. 怀疑论；怀疑的态度
legend,n. 传奇；说明；图例；刻印文字
legendary,"adj. 传说的，传奇的
n. 传说集；圣徒传"
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
astronaut,n. 宇航员，航天员；太空旅行者
have one's roots in,
veracity,n. 诚实；精确性；老实；说真实话
confirm,vt. 确认；确定；证实；批准；使巩固
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
firework,n. 烟火；激烈情绪
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
risky,adj. 危险的；冒险的；（作品等）有伤风化的
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
spaceship,n.  宇宙飞船
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
torch,"n. 火把，火炬；手电筒；启发之物
vt. 用火炬点燃
vi. 像火炬一样燃烧"
earth-shattering,adj. 惊天动地的；极其重大的
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
far-fetched,adj. 牵强附会的
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
spaceflight,n. 航天；宇宙飞行
onlooker,n. 旁观者；观众（等于spectator）
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
aviation,n. 航空；飞行术；飞机制造业
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
nickname,"n. 绰号；昵称
vt. 给……取绰号；叫错名字"
concept,n. 观念，概念
hold a record,保持记录
wingspan,n. 翼展；翼幅
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
complexity,n. 复杂，复杂性；复杂错综的事物
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
behind schedule,"na. 比预定时间晚
 晚点；误点；落后于预定计划"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
incorporate into, 并入；把什么并入；纳入
cargo,n. 货物，船货
in the field of, 在…领域；在……方面；在领域的
transportation,n. 运输；运输系统；运输工具；流放
ahead of one's time,"具有超前意识, 思想超越同时代的人"
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
device,n. 装置；策略；图案
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
anatomy,n. 解剖；解剖学；剖析；骨骼
base on,"v. 根据
 基于；以……为基础；以…为根据"
analogy,n. 类比；类推；类似
enigmatic,adj. 神秘的；高深莫测的；谜一般的
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
fascination,n. 魅力；魔力；入迷
CV,
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
take up,"na. 拿起；举起；拾起；给搭(火车等)
 占据；从事；开始"
Swiss,"n. 瑞士人；瑞士腔调
adj. 瑞士的；瑞士人的；瑞士风格的"
duo,n. 二重奏；二重唱；二人组
unveil,"vt. 使公之于众，揭开；揭幕
vi. 除去面纱；显露"
duration,"n. 持续，持续的时间，期间
音长，音延"
successive,adj. 连续的；继承的；依次的；接替的
carbon fiber,"un. 碳素纤维
 碳纤维；炭纤维；碳化纤维"
evolution,n. 演变；进化论；进展
prototype,n. 原型；标准，模范
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜"
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
be covered with,"na. 盖满
 被……覆盖；被……所覆盖；覆盖着"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
custom-made,"adj. 定制的
v. 定做（custom-make的过去式）"
lithium,n. 锂（符号Li）
endurance,n. 忍耐力；忍耐；持久；耐久
cockpit,n. 驾驶员座舱；战场
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
foam,"n. 泡沫；水沫；灭火泡沫
vt. 使起泡沫；使成泡沫状物
vi. 起泡沫；吐白沫；起着泡沫流动"
life raft,"n. 充气救生船；橡皮救生筏
 救生艇；救身筏；救生阀"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
recline,"vt. 使躺下；使斜倚
vi. 靠；依赖；斜倚"
circulation,n. 流通，传播；循环；发行量
rescue,"n. 营救；援救；解救
vt. 营救；援救"
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
undertaking,"n. 事业；企业；保证；殡仪业
v. 同意；担任；许诺（undertake的ing形式）"
make it to, 及时赶到；到达；赶上
stratosphere,n. 同温层；最上层；最高阶段
early on,"adj. 不久之前
 前一阵子；在早期；继续下去"
entrepreneur,n. 企业家；承包人；主办者
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
lofty,adj. 高的；崇高的；高级的；高傲的
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
gulf,"n. 海湾；深渊；分歧；漩涡
vt. 吞没"
with the aim of, 带有……的目的；以便；以…为目的
departure,n. 离开；出发；违背
maxim,
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
grateful,adj. 感谢的；令人愉快的，宜人的
honoured,光荣
on behalf of,"na. 替；为…的利益
 代表；代表某人；以…名义"
colleague,n. 同事，同僚
capability,n. 才能，能力；性能，容量
complement,"n. 补语；余角；补足物
vt. 补足，补助"
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
staffed,雇用工作人员（staff的过去式和过去分词）
docking,"n. 入坞
adj. 入坞的
v. 入港；为…设置船坞（dock的ing形式）"
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
generally speaking,"na. 一般地说；一般地说来
 一般说来；一般来说；一般而言"
durability,n. 耐久性；坚固；耐用年限
psychological,adj. 心理的；心理学的；精神上的
stability,n. 稳定性；坚定，恒心
guilty,adj. 有罪的；内疚的
be supportive of, 支持；赞成；支持…的
be thankful to, 感激；感谢；感激的
manoeuvre,"vi. 调动；演习；用策略
vt. 诱使；操纵；耍花招
n. 策略（等于maneuvre）"
of one's own,"na. 自己的
 属于某人自己的；属于自己的；某人的自己的"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
community,n. 社区； 群落；共同体；团体
workshop,n. 车间；研讨会；工场；讲习班
tinker,"n. 补锅匠；修补匠；焊锅；（美）小鲭鱼
vi. 做焊锅匠；焊补；笨手笨脚地做事
vt. 修补；粗修"
encouragement,n. 鼓励
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
solder,"n. 焊料；接合物
vt. 焊接；使联接在一起
vi. 焊接"
interact with,"v. 与…相互作用
 与……互动；与……组合；和……交往"
meditation,n. 冥想；沉思，深思
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
maker,n. 制造者；造物主；出期票人
DIY,abbr. 自己动手做（Do It Yourself）
gain ground, 前进;  有进展;  越来越为人们所接受; 逼近
assumption,n. 假定；设想；担任；采取
capacity,n. 能力；容量；资格，地位；生产力
define,vt. 定义；使明确；规定
hack,"n. 砍，劈；出租马车
vt. 砍；出租
vi. 砍"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
gadget,n. 小玩意；小器具；小配件；诡计
makerspace, 制造空间；创客空间；创客工厂
desktop,n. 桌面；台式机
collaborative,adj. 合作的，协作的
work on,"na. 对…有效；动(人,感情等)；向…做工作；左右
 从事；致力于；继续工作"
in secret,"na. 秘密地；偷偷摸摸地
 秘密的；暗中；私下地"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
occupy,vt. 占据，占领；居住；使忙碌
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
get together,"na. 聚集；集合；汇齐；积累
 聚会；相聚；联欢"
conduit,n.  导管；沟渠；导水管
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
execute,vt. 实行；执行；处死
innovator,n. 改革者，创新者
take an interest in,"na. 对…感兴趣
 对……感兴趣；对…产生兴趣；过问"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
creation,n. 创造，创作；创作物，产物
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
hardware,n. 计算机硬件；五金器具
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
candidate,n. 候选人，候补者；应试者
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
recruitment,n. 补充；征募新兵
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
sprout,"n. 芽；萌芽；苗芽
vt. 使发芽；使萌芽
vi. 发芽；长芽"
electronic,"adj. 电子的
n. 电子电路；电子器件"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
call for,"na. 呼吁；主张；需要；接(某人)
 要求；提倡；号召"
hegemony,n. 霸权；领导权；盟主权
industrialized,"adj. 工业化的
v. 使工业化；将…组成产业（industrialize的过去分词）"
unprecedented,adj. 空前的；无前例的
tendency,n. 倾向，趋势；癖好
sort of,"adv. 有几分地
 （想不出恰当的词或不知下面该怎么说时用）可以说，可说是"
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
hop on, 跳上；责骂；快上来
outskirts,n. 市郊，郊区
sprawl,"n. 蔓生；伸开手足躺卧姿势
vt. 懒散地伸开；使蔓生
vi. 蔓延；伸开手足躺；无计划地扩展"
liken to, 把…比作；与……相比；比为
get a taste of,
connection,n. 连接；关系；人脉；连接件
ongoing,"adj. 不间断的，进行的；前进的
n. 前进；行为，举止"
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
for sale,"na. 出售(的)
 待售；供出售；出售的"
hands-on,adj. 亲身实践的，亲自动手的
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
socialize,"vt. 使社会化；使社会主义化；使适应社会生活
vi. 交际；参与社交"
lathe,"vt. 用车床加工
n. 车床；机床"
saw,"n. 锯子；谚语
v. see的过去式
vi. 锯；用锯；将某物锯成小块
vt. 看见；明白，了解；锯；锯成；锯开"
laser-cut, 激光切割；雷射切割；镭射立体切割
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
collaboration,n. 合作；勾结；通敌
high-end,adj. 高端的；高档的
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
differentiator,n.  微分器；微分电路；区分者
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
lag behind,"na. 落后
 滞后；落在后面；落后于"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
far-reaching,adj. 深远的；广泛的；伸至远处的
divide up,"v. 分割；瓜分
 分配；划分；分开"
low-margin, 低利润
invest in,"v. 投资到
 投资于；在…上投资；在…投入"
strategy,n. 战略，策略
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
entrepreneurial,adj. 企业家的，创业者的；中间商的
twig,"n. 小枝；嫩枝；末梢
vt. 理解
vi. 理解"
stoke,"vt. 拨旺火；使饱吃一顿
vi. 烧火；做司炉工；大吃大喝"
on earth,"na. 到底；在地球上；全然
 究竟；在世上；在人间"
robotic,"n. 机器人学
adj. 机器人的，像机器人的；自动的"
giraffe,n. 长颈鹿
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
dinosaur,n. 恐龙；过时、落伍的人或事物
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
next to,"prep. 紧邻；在…近旁；仅次于；紧接
 在…旁边；紧挨着；与……相邻"
spike,"n. 长钉，道钉；钉鞋；细高跟
vt. 阻止；以大钉钉牢；用尖物刺穿"
celebration,n. 庆典，庆祝会；庆祝；颂扬
draw attention to,"un. 促使…注意
 对……表示注意；吸引对……的注意；吸引注意力"
take apart,"na. 分解；拆分；剖析
 拆开；拆卸；卸开"
show stopper, 项目障碍物
full-sized,adj. 全尺寸的
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆"
bring together,"na. 集合
 使团结；使…团结起来；撮合"
beast,n. 野兽；畜生，人面兽心的人
solve,"vt. 解决；解答；溶解
vi. 作解答"
