unit,n. 单位，单元；装置； 部队；部件
when,"conj. 考虑到；既然；当…时；在…时；如果
n. 时间，时候；日期；场合
adv. 什么时候，何时；（用于时间的表达方式之后）在那时；其时；当时
pron. 那时；什么时侯"
person,n. 人；身体；容貌，外表；人称
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
for example,"na. 例如
 举例；比如；比如说"
other,"adj. 其他的，另外的
pron. 另外一个"
usually,adv. 通常，经常
agree,"vi. vi. 同意，意见一致；约定，商定
vt. 同意，赞成；承认；约定，商定"
once,"adv. 一次；曾经
conj. 一旦
n. 一次，一回"
guest,"n. 客人，宾客；顾客
adj. 客人的；特邀的，客座的
vt. 款待，招待
vi. 作客，寄宿"
England,n. 英格兰
cloudy,adj. 多云的；阴天的；愁容满面的
sunny,adj. 阳光充足的，和煦的；快活的；性情开朗的
afternoon,n. 午后，下午
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
nine,"n. 九，九个
num. 九；九个
adj. 九的，九个的"
tell,"vt. 告诉，说；辨别；吩咐；断定
vi. 讲述；告发，泄密；识别"
friendship,n. 友谊；友爱；友善
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
left,"adj. 左边的；左派的；剩下的
adv. 在左面
n. 左边；左派；激进分子
v. 离开（leave的过去式）"
next,"adv. 然后；下次；其次
adj. 下一个的；其次的；贴近的
n. 下一个
prep. 靠近；居于…之后"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
then,"conj. 然后，当时
n. 那时
adv. 然后；那么；于是；当时；此外"
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
far,"n. 远方
adj. 远的；久远的
adv. 很；遥远地；久远地；到很远的距离；到很深的程度"
from,prep. 来自，从；由于；今后
take,"vi. 拿；获得
vt. 拿，取；采取；接受（礼物等）；买，花费；耗费（时间等）
n. 捕获量；看法；利益，盈益；（入场券的）售得金额"
minute,"n. 分，分钟；片刻，一会儿；备忘录，笔记；会议记录
vt. 将…记录下来
adj. 微小的，详细的 "
bike,"n. 自行车；脚踏车
vi. 骑自行车（或摩托车）"
look for,"v. 寻找；探索；渴望；盼望
 期待；找寻；查找"
railway,"n. （英）铁路；轨道；铁道部门
vi. 乘火车旅行"
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
map,"vt. 映射；计划；绘制地图；确定基因在染色体中的位置
n. 地图；示意图；染色体图
vi. 基因被安置"
bridge,"n. 桥；桥牌；桥接器；船桥
vt. 架桥；渡过"
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
taxi,"n. 出租汽车
vt. 使滑行；用出租车送
vi. 乘出租车；滑行"
bus,"n. 公共汽车
乘公共汽车"
stop,"n. 停止；车站；障碍；逗留
vi. 停止；中止；逗留；被塞住
vt. 停止；堵塞；断绝"
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
need,"n. 需要，要求；缺乏；必要之物
vt. 需要
vi. 需要"
another,"prep. 另一个；另一个人
adj. 又一，另一；另外的；不同的
pron. 另一个；又一个"
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
east,"n. 东方；东风；东方国家
adj. 东方的；向东的；从东方来的
adv. 向东方，在东方"
river,n. 河，江
road,"n. 公路，马路；道路；手段
adj. （美）巡回的
vt. （狗）沿臭迹追逐（猎物）"
near,"adj. 近的；亲近的；近似的
adv. 近；接近
prep. 靠近；近似于"
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
walk,"n. 步行，走；散步
vi. 走，步行；散步
vt. 散步；走过"
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
ahead,"adj. 向前；在前的；领先
adv. 向前地；领先地；在（某人或某事物的）前面；预先；在将来，为未来"
student,n. 学生；学者
teacher,n. 教师；导师
city,"n. 城市，都市
adj. 城市的；都会的"
best,"n. 最好的人，最好的事物；最佳状态
adj. 最好的
vt. 打败，胜过
adv. 最好地"
driver,n. 驾驶员；驱动程序；起子；传动器
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
quickly,adv. 迅速地；很快地
any,"adj. 任何的；所有的；丝毫
pron. 任何；任何一个；若干
adv. 稍微；少许"
place,"n. 地方；住所；座位
vt. 放置；任命；寄予
vi. 名列前茅；取得名次"
timesaving,adj. 节省时间的
sir,n. 先生；（用于姓名前）爵士；阁下；（中小学生对男教师的称呼）先生；老师
yellow,"n. 黄色；黄种人；黄色颜料
adj. 黄色的；黄皮肤的
vt. 使变黄或发黄
vi. 变黄或发黄"
shirt,n. 衬衫；汗衫，内衣
T-shirt,n. 短袖圆领汗衫
size,"n. 大小；尺寸
adj. 一定尺寸的
vt. 依大小排列
vi. 可比拟"
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大"
see,"vi. 看；看见；领会
vt. 看见；理解；领会"
tea,"n. 茶叶；茶树；茶点
vt. 给…沏茶
vi. 喝茶；进茶点"
famous,adj. 著名的；极好的，非常令人满意的
black,"n. 黑色；黑人；黑颜料
adj. 黑色的；黑人的；邪恶的
vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
vi. 变黑"
green,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色"
summer,"n. 夏季；全盛时期
adj. 夏季的
vi. 避暑；过夏天"
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
shoe,"n. 鞋；蹄铁；外胎
vt. 给……穿上鞋；穿……鞋"
them,pron. 他们；它们；她们
they,pron. 他们；它们；她们
yesterday,"n. 昨天；往昔
adv. 昨天"
receipt,"n. 收到；收据；收入
vt. 收到"
pair,"n. 一对，一双，一副
vt. 把…组成一对"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
whom,pron. 谁（who的宾格）
who,pron. 谁；什么人
silk,"n. 丝绸；蚕丝；丝织物
adj. 丝的；丝绸的；丝制的
vi. （玉米）处于长须的阶段中"
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕"
pay,"n. 工资，薪水；付款；报答
vt. 支付，付；偿还，补偿；给予
vi. 付款；偿还
adj. 收费的；需付费的"
cashier's, 收银台；付款处
supermarket,n. 超级市场；自助售货商店
shop,"n. 商店；店铺
vt. 购物
vi. 购物；买东西"
home,"n. 家，住宅；产地；家乡；避难所
adj. 国内的，家庭的；有效的
vt. 归巢，回家
adv. 在家，回家；深入地"
sell,"n. 销售；失望；推销术
vt. 销售；推销；出卖；欺骗
vi. 卖；出售；受欢迎；有销路"
almost,adv. 差不多，几乎
everything,pron. 每件事物；最重要的东西；（有关的）一切；万事
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
sugar,"n. 糖；食糖；甜言蜜语
vt. 加糖于；粉饰
vi. 形成糖"
bread,"n. 面包；生计
vt. 在…上洒面包屑"
egg,"n. 蛋；卵子；家伙；鸡蛋
vt. 煽动；怂恿"
first,"num. 第一
n. 第一；开始；冠军
adj. 第一的；基本的；最早的
adv. 第一；首先；优先；宁愿"
floor,"n. 地板，地面；楼层；基底；议员席
vt. 铺地板；打倒，击倒；（被困难）难倒"
second,"num. 第二
n. 秒；第二名；瞬间；二等品
adj. 第二的；次要的；附加的
vt. 支持
adv. 第二；其次；居第二位"
clothes,n. 衣服
hat,"n. 帽子
vt. 给……戴上帽子
vi. 供应帽子；制造帽子"
woman,n. 妇女；女性；成年女子
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
shop-assistant,n. 商店售货员
eleven,"num. 十一；十一个
n. 十一；十一个
adj. 十一的；十一个的"
box,"n. 箱，盒子；包厢；一拳
vt. 拳击；装…入盒中；打耳光
vi. 拳击"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
pardon,"n. 原谅；赦免；宽恕
vt. 原谅；赦免；宽恕"
coke,n. 可口可乐（等于Coca-Cola）
beer,"n. 啤酒
vi. 喝啤酒"
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
orange,"adj. 橙色的；橘色的
n. 橙；橙色；桔子"
juice,n. （水果）汁，液；果汁
ah,int. 啊；呀
cup,"n. 杯子；奖杯；酒杯
vt. 使成杯状；为…拔火罐"
restaurant,n. 餐馆； 饭店
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
group,"n. 组；团体
adj. 群的；团体的
vt. 把…聚集；把…分组
vi. 聚合"
sit,"vi. 坐；位于
vt. 使就座"
table,"n. 桌子；表格；平地层
vt. 制表；搁置；嵌合
adj. 桌子的"
window,n. 窗；窗口；窗户
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
pity,"n. 怜悯，同情；遗憾
vt. 对……表示怜悯；对……感到同情"
hungry,adj. 饥饿的；渴望的；荒年的；不毛的
wait,"n. 等待；等候
vi. 等待；耽搁；伺候用餐
vt. 等候；推迟；延缓"
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
most,"adv. 最；非常，极其；最多；几乎
adj. 大部分的，多数的；最多的
n. 大部分，大多数"
dish,"n. 盘；餐具；一盘食物；外貌有吸引力的人
vt. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
vi. 成碟状；闲谈"
hot,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热"
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
pork,"n. 猪肉
vt. 与女子性交"
sometimes,adv. 有时，间或
learn,"vt. 学习；得知；认识到
vi. 学习；获悉"
foreign,adj. 外国的；外交的；异质的；不相关的
language,n. 语言；语言文字；表达能力
meat,n. 肉，肉类（食用）
French,"n. 法国人；法语
adj. 法国的；法语的；法国人的"
animal,"n. 动物
动物的"
English,"n. 英语；英国人；英文；英格兰人
adj. 英国人的；英国的；英文的
vt. 把…译成英语"
pig,"n. 猪；猪肉
vi. 生小猪；像猪一样过活
n. 警察（俚语，带有攻击性）"
call,"n. 电话；呼叫；要求；访问
vi. 呼叫；拜访；叫牌
vt. 呼叫；称呼；召集"
living,"adj. 活的；现存的；活跃的；逼真的
n. 生活；生存；生计
v. 生活；居住（live的ing形式）；度过"
cattle,n. 牛；牲畜（骂人的话）；家畜；无价值的人
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
beef,"n. 牛肉；肌肉；食用牛；牢骚
vt. 养；加强
vi. 抱怨，告发；发牢骚"
twelve,"num. 十二；十二个
n. 十二；十二个
adj. 十二的；十二个的"
travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
either,"conj. 也（用于否定句或否定词组后）；根本
prep. 任何一个
adj. 两者之中任一的；两者之中每一的
pron. 任一，两方，随便哪一个；两者中的一个或另一个"
or,conj. 或，或者；还是
either ... or ...,
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
China,"n. 中国
n. china，瓷器
adj. 中国的；中国制造的
adj. china，瓷制的"
till,"prep. 直到
conj. 直到...为止
n.  冰碛；放钱的抽屉；备用现金
vt. 耕种；犁
vi. 耕种；耕耘"
Tuesday,n. 星期二
more,"adv. 更多；此外；更大程度地
adj. 更多的；附加的
pron. 更多的数量
n. 更多"
photo,n. 照片
palace,n. 宫殿；宅邸；豪华住宅
the Summer Palace,
yet,"conj. 但是；然而
adv. 还；但是；已经"
after,"conj. 在……之后
prep. 在……之后
adj. 以后的
adv. 后来，以后"
the day after tomorrow,"na. 后天
 明天过后；明日之后；末日浩劫"
south,"n. 南方，南边；南部
adj. 南的，南方的
adv. 在南方，向南方"
winter,"n. 冬季；年岁；萧条期
adj. 冬天的；越冬的
vi. 过冬"
holiday,"n. 假日；节日；休息日
vi. 外出度假"
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
ship,"n. 船；舰；太空船
vt. 运送，乘船；以船运送
vi. 上船；乘船旅行；当船员"
by ship, 乘船；乘轮船；坐轮船
lot,"n. 份额；许多；命运；阄
adv. （与形容词和副词连用）很，非常；（与动词连用）非常
pron. 大量，许多
vt. 分组，把…划分（常与out连用）；把（土地）划分成块
vi. 抽签，拈阄"
a lot of,"det. 许多
 大量；很多；大量的"
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
ready,"n. 现款；预备好的状态
adj. 准备好；现成的；迅速的；情愿的；快要…的
vt. 使准备好
adv. 迅速地；预先"
get something ready,
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
poor,adj. 贫穷的；可怜的；贫乏的；卑鄙的
have to,"modalv. 不得不；必须；劝告或建议时用；表示一定真实或肯定发生
v. 不得不；必须；一定；应当
 只好；必须得；表示客观上不得不做某事"
thirteen,"n. 十三；十三岁；十三个
num. 十三
adj. 十三的；十三个的"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的"
double,"n. 两倍；双精度型
adj. 双重的；两倍的
vt. 使加倍
adv. 双重地；两倍地；弓身地
vi. 加倍，加倍努力；快步走"
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
passport,n. 护照，通行证；手段
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
single,"n. 一个；单打；单程票
adj. 单一的；单身的；单程的
vt. 选出
vi. 击出一垒安打"
per,prep. 每；经；按照；每一
price,"n. 价格；价值；代价
vt. 给……定价；问……的价格"
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
coffee,n. 咖啡；咖啡豆；咖啡色
ago,"adj. 以前的；过去的
adv. 以前，以往"
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
July,n. 七月
ticket,vt. 加标签于；指派；对…开出交通违规罚单
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
off,"prep. 离开；脱落
adv. 切断；走开
adj. 远离的；空闲的"
take off,"v. (飞机)起飞；出去；拿掉；移送
 脱下；脱掉；脱去"
a.m.,abbr. 上午，午前（ante meridiem）
A.M.,
twenty,"num. 二十
n. 二十；二十年代
adj. 二十的"
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
some,"adj. 一些；某个；大约；相当多的
pron. 一些；若干；其中的一部分；（数量不确切时用）有些人
adv. 非常；相当；<美>稍微"
several,"adj. 几个的；各自的
pron. 几个；数个"
western,"n. 西方人；西部片，西部小说
adj. 西方的，西部的；有西方特征的"
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往"
postal,"n. 明信片
adj. 邮政的；邮局的"
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
fourteen,"num. 十四；十四个；第十四
n. 十四的记号；十四岁；十四点钟；十五世纪"
hobby,n. 嗜好；业余爱好
favourite,"n. 特别喜爱的人（或物）
adj. 特别受喜爱的"
sport,"n. 运动；游戏；娱乐；运动会；玩笑
adj. 运动的
vt. 游戏；参加体育运动；夸耀
vi. 游戏"
basketball,n. 篮球；篮球运动
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼"
worth,"n. 价值；财产
adj. 值…的"
money,n. 钱；货币；财富
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
myself,pron. 我自己；我亲自；我的正常的健康状况和正常情绪
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
every,adj. 每一的，每个的；每隔…的
month,n. 月，一个月的时间
book,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记"
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
different,adj. 不同的；个别的，与众不同的
still,"conj. 仍然；但是；尽管如此
n. 寂静；剧照；蒸馏室
adj. 静止的，不动的；寂静的，平静的；不起泡的
adv. 仍然；更；静止地
vt. 蒸馏；使…静止；使…平静下来
vi. 静止；平静；蒸馏"
music,n. 音乐，乐曲
healthy,adj. 健康的，健全的；有益于健康的
world,n. 世界；领域；世俗；全人类；物质生活
heart,"n. 心脏；感情；勇气；心形；要点
vt. 鼓励；铭记
vi. 结心"
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费"
fifteen,"n. 十五；十五个；十五人组成的橄榄球队
num. 十五
adj. 十五的"
see ... off,"na. 送行；送别；告别；赶走
 给…送行；为…送行；给某人送行"
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
look forward to,"na. 盼望
 期待；期望；期盼"
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
thank,"n. 感谢
vt. 感谢
int. 谢谢"
before,"prep. 在…之前，先于
conj. 在…以前；在…之前
adv. 以前；在前"
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
same,"adj. 相同的；同一的；上述的（通常与the连用）；无变化的
adv. 同样地（通常与the连用）
pron. 同样的事物或人（通常与the连用）"
us,pron. 我们
we,pron. 我们（主格）；笔者，本人（作者或演讲人使用）；朕，寡人
during,prep. 在…的时候，在…的期间
enough,"n. 很多；充足
adj. 充足的
adv. 足够地，充足地
int. 够了！"
both,"conj. 既…且…
adj. 两个的；两者的
pron. 双方都；两者都
adv. 并；又；两者皆"
enjoy,vt. 欣赏，享受；喜爱；使过得快活
wish,"n. 希望；祝福；心愿
vt. 祝愿；渴望；向…致问候语
vi. 愿望；需要"
important,adj. 重要的，重大的；有地位的；有权力的
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
let,"vt. 允许，让；出租；假设；妨碍
vi. 出租；被承包
n. 障碍；出租屋"
between,"prep. 在…之间
adv. 在中间"
sixteen,"num. 十六
adj. 十六的，十六个的"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
office,n. 办公室；政府机关；官职；营业处
post office,"n. 邮局；邮政部门；邮政系统；邮差敲门游戏（儿童用假托的信件换取亲吻）
 邮政局；邮电局；邮政署"
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
send,"n. 上升运动
vi. 派人；寄信
vt. 发送，寄；派遣；使进入；发射"
letter,"n. 信；字母，文字；证书；文学，学问；字面意义
vt. 写字母于
vi. 写印刷体字母"
the United States,"na. 美利坚合众国
 美国；联合国；是美利坚合众国的简称"
airmail,n. 航空邮件
week,n. 周，星期
little,"adj. 小的；很少的；短暂的；小巧可爱的
adv. 完全不
n. 少许；没有多少；短时间"
a little,"n. 一点
 一些；少许；有点"
dollar,n. 美元
into,prep. 到…里；深入…之中；成为…状况；进入到…之内
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
card,"n. 卡片；纸牌；明信片
vt. 记于卡片上"
credit card,"n. 信用卡
 贷记卡；申请信用卡；意思是信用卡"
traveller,n. 旅行者
cheque,n. 支票
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
up,"prep. 在…之上；向…的较高处
n. 上升；繁荣
adj. 涨的；起床的；向上的
adv. 起来；上涨；向上"
set up,"na. 建立；创立；发起；开办
 设立；设置；成立"
quick,"n. 核心；伤口的嫩肉
adj. 快的；迅速的，敏捷的；灵敏的
adv. 迅速地，快"
development,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）； 显影
similar,"n. 类似物
adj. 相似的"
mail,"n. 邮件；邮政，邮递；盔甲
vt. 邮寄；给…穿盔甲
vi. 邮寄；寄出"
put,"n. 掷；笨蛋；投击；怪人
adj. 固定不动的
vi. 出发；击；航行；发芽
vt. 放；表达；移动；安置；赋予"
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
