time-out,n. 休息时间，暂停
expel,vt. 驱逐；开除
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
moment,n. 片刻，瞬间，时刻；重要，契机
wading pool,"n. 嬉水池
 浅水池；涉水池；儿童池"
neighboring,"adj. 邻近的；附近的（等于neighbouring）
v. 与…为邻；位于附近（neighbor的ing形式）"
neighbouring,adj. 邻近的；附近的；接壤的
apartment,n. 公寓；房间
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
rescue,"n. 营救；援救；解救
vt. 营救；援救"
rescue breathing,"un. 人工呼吸
 急救人工呼吸；急救呼吸；非心因性加吹气"
vomit,"n. 呕吐；呕吐物；催吐剂
vi. 呕吐；吐出
vt. 吐出；使……呕吐"
paramedic,n. 护理人员；伞兵军医；伞降医务人员
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
eliminate,vt. 消除；排除
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
harmful,adj. 有害的；能造成损害的
ingest,vt. 摄取；咽下；吸收；接待
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
preparation,n. 预备；准备
well-stocked,adj. 贮藏量多的；备货充足的
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
warning,"n. 警告；预兆；预告
v. 警告（warn的ing形式）
adj. 警告的；引以为戒的"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
community,n. 社区； 群落；共同体；团体
situation,n. 情况；形势；处境；位置
extensive,adj. 广泛的；大量的；广阔的
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
mishap,n. 灾祸；不幸事故；晦气
illness,n. 病；疾病
stitch,"n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合"
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
ER,
indigestion,n. 消化不良；不消化
sudden,"n. 突然发生的事
adj. 突然的，意外的；快速的"
routinely,adv. 例行公事地；老一套地
heartburn,n. 心痛，妒忌； 胃灼热
victim,n. 受害人；牺牲品；牺牲者
life-threatening,adj. 威胁生命的
worsen,"vi. 恶化；变得更坏；更坏
vt. 使恶化；使变得更坏"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
nature,n. 自然；性质；本性；种类
dispatcher,n. 调度员； 调度程序； 分配器
hang,"n. 悬挂；暂停，中止
vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决"
reassure,vt. 使…安心，使消除疑虑
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
absolutely,adv. 绝对地；完全地
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
injury,n. 伤害，损害；受伤处
CPR,abbr. 加拿大太平洋铁路（Canadian Pacific Railways）；现行页面寄存器（Current Page Register）；心肺复苏术（cardiopulmonary resuscitation）
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
splint,"n. 夹板；薄木条；薄金属片
vt. 用夹板固定"
immobilize,vt. 使固定；使不动；使停止流通
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
procedure,n. 程序，手续；步骤
take action,"na. 动手；采取行动；采取(快速)措施；提起诉讼
 行动起来；采取措施；实施行动"
call for,"na. 呼吁；主张；需要；接(某人)
 要求；提倡；号召"
keep one's cool,"un. 保持冷静
 发脾气；某日"
turn away,"v. 转变方向
 转过脸去；避开；走开"
in general,"na. 一般；大体上
 通常；一般来说；一般而言"
identify oneself, 证明自己；表露身分；证明自己的身份
hang up,"v. 挂断电话；挂机；悬挂；耽搁
 挂起；把…挂起来；挂电话"
EMT,
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
helplessly,adv. 无助地；无能为力地
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
carotid,"n. 颈动脉
adj. 颈动脉的"
artery,n. 动脉；干道；主流
cardiopulmonary,adj. 心肺的；与心肺有关的
respiration,n. 呼吸；呼吸作用
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
manually,adv. 手动地；用手
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
compression,n. 压缩，浓缩；压榨，压迫
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
essence,n. 本质，实质；精华；香精
oxygen,n.  氧气， 氧
lung,n. 肺；呼吸器
rotation,n. 旋转；循环，轮流
stretcher,n. 担架；延伸器
scissors,"n. 剪刀；剪式跳法
v. 剪开；删除（scissor的第三人称单数）"
pants,n. 裤子
naked,adj. 裸体的；无装饰的；无证据的；直率的
reality,n. 现实；实际；真实
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
adrenalin,n. 肾上腺素
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
intense,adj. 强烈的；紧张的；非常的；热情的
concentration,n. 浓度；集中；浓缩；专心；集合
mumble,"vt. 含糊地说；抿着嘴嚼
vi. 含糊地说话
n. 含糊的话；咕噜"
heavily,adv. 沉重地；猛烈地；沉闷地
rub,"n. 摩擦；障碍；磨损处
vt. 擦；摩擦；惹怒
vi. 擦；摩擦；擦破"
sternum,n.  胸骨； 胸板
pinch,"n. 匮乏；少量；夹痛
vt. 捏；勒索；使苦恼；掐掉某物，修剪
vi. 夹痛；节省"
toe,"n. 脚趾；足尖
vt. 用脚尖走；以趾踏触
vi. 动脚尖；用足尖跳舞"
shake,"n. 摇动；哆嗦
vt. 动摇；摇动；震动；握手
vi. 动摇；摇动；发抖"
shaken,v. 摇动，动摇（shake的过去分词）
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
bag-mask,
apparatus,n. 装置，设备；仪器；器官
artificially,adv. 人工地；人为地；不自然地
biology,n. （一个地区全部的）生物；生物学
intervention,n. 介入；调停；妨碍
hands-on,adj. 亲身实践的，亲自动手的
practical,adj. 实际的；实用性的
basis,n. 基础；底部；主要成分；基本原则或原理
backboard,n. 篮板；背板；后挡板
bandage,"n. 绷带
vt. 用绷带包扎"
spinal,"n. 脊椎麻醉
adj. 脊髓的；脊柱的；针的；脊骨的；尖刺的"
immobilization,n. 使停止流通，固定
aspirin,n. 阿司匹林（解热镇痛药）
uplifting,adj. 令人振奋的；使人开心的
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
colleague,n. 同事，同僚
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
traumatic,"adj. （生理）外伤的
adj. （心理）创伤的"
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
lifestyle,"n. 生活方式
保健的"
adequate,adj. 充足的；适当的；胜任的
nutritious,adj. 有营养的，滋养的
certification,n. 证明，保证；检定
possibility,n. 可能性；可能发生的事物
retain,vt. 保持；雇；记住
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
on-campus,adv. 在校内
fulfilling,adj. 令人满意的；能实现个人抱负的；令人高兴的
worthwhile,adj. 值得做的，值得花时间的
anything like,"na. 全然(没有)；像…那样的
 像……那样的东西；完全像；多少有点像"
kick into gear,
get into gear,"开动机器,着手工作;适应工作条件"
in essence,"na. 本质上；大体上
 实质上；在本质上；本质上地"
all in a day's work, 当然，头，这是家常便饭；很平常的事；难免遇到的不快之事
before I knew it,
in charge of,"na. 受托…的
 负责；主管；掌管"
on a regular basis, 定期地；经常；经常地
pass away,"na. 消失；Vi. 经过；去；终止
 去世；逝世；过世"
it's only a matter of time,
it's just a matter of time,
lay out,"n. 布局；设计；规划；安排
 布置；摆开；花费"
right now,"na. 目前；方才
 现在；马上；立刻"
go for it,"na. 尽力争取；试一试
 新目标；新目标英语；加油"
passion,n. 激情；热情；酷爱；盛怒
strategy,n. 战略，策略
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
administrative,adj. 管理的，行政的
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
automotive,adj. 汽车的；自动的
dealership,n. 代理权；代理商；经销权
manager,n. 经理；管理人员
controller,n. 控制器；管理员；主计长
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
salespeople,n. 推销员； 售货员；店员
beef,"n. 牛肉；肌肉；食用牛；牢骚
vt. 养；加强
vi. 抱怨，告发；发牢骚"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
co-worker,n. 同事；合作者
truth,n. 真理；事实；诚实；实质
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
mildly,adv. 温和地，和善地；适度地
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
attitude,n. 态度；看法；意见；姿势
miserable,adj. 悲惨的；痛苦的；卑鄙的
foolish,adj. 愚蠢的；傻的
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
boring,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）"
psychologist,n. 心理学家，心理学者
vocational,adj. 职业的，行业的
investigative,adj. 研究的；调查的；好调查的
artistic,adj. 艺术的；风雅的；有美感的
enterprising,adj. 有事业心的；有进取心的；有魄力的；有胆量的
conventional,adj. 符合习俗的，传统的；常见的；惯例的
outdoors,"adv. 在户外
n. 户外
adj. 户外的（等于outdoor）"
chef,n. 厨师，大师傅
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
analyze,vt. 对…进行分析，分解（等于analyse）
analyse,vt. 分析；分解；细察
programmer,n.  程序设计员
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
creative,adj. 创造性的
graphic,adj. 形象的；图表的；绘画似的
graphic designer, 平面设计师；美术设计员；美工
musician,n. 音乐家
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
occupation,n. 职业；占有；消遣；占有期
politician,n. 政治家，政客
accountant,n. 会计师；会计人员
paralegal,"n. 律师帮办；律师的专职助手
adj. 辅助律师业务的"
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
tendency,n. 倾向，趋势；癖好
pros,"n. 赞成者；赞成的意见（pro的复数）
abbr. 舞台前部（proscenium）；诗体学（prosody）"
cons,
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的"
diverse,adj. 不同的；多种多样的；变化多的
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
real-world,adj. 现实生活的；工作的
concept,n. 观念，概念
income,n. 收入，收益；所得
checkbook,n. 支票簿
tax,"n. 税金；重负
vt. 向…课税；使负重担"
withholding,"n. 扣缴税款
v. 克制；阻挡（withhold的ing形式）"
nursery,n. 苗圃；托儿所；温床
day-care,adj. <美>日间托儿的
expose,vt. 揭露，揭发；使曝光；显示
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
exposure,n. 暴露；曝光；揭露；陈列
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
downside,"n. 负面，缺点；下降趋势；底侧
adj. 底侧的"
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹"
daily,"n. 日报；朝来夜去的女佣
adj. 日常的；每日的
adv. 日常地；每日；天天"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
convenient,adj. 方便的；适当的；近便的；实用的
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
repetitive,adj. 重复的
accumulate,"vt. 积攒
vi. 累积；积聚"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
minimum-wage,na. (法定)最低工资
law,"n. 法律；规律；法治；法学；诉讼；司法界
vi. 起诉；控告
vt. 控告；对…起诉"
category,n. 种类，分类； 范畴
lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
ensure,vt. 保证，确保；使安全
extracurricular,adj. 课外的；业余的；婚外的
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
aggravate,vt. 加重；使恶化；激怒
employer,n. 雇主，老板
reluctant,adj. 不情愿的；勉强的；顽抗的
earnings,n. 收入
paycheck,n. 付薪水的支票，薪水
anywhere,"n. 任何地方
adv. 在任何地方；无论何处"
a bunch of,"det. 一束
 一群；一堆；一串"
no way,"na. 无论如何不
 不行；不可能；没门"
pros and cons,n. 利弊; 正反两方面; 优缺点; 赞成和反对的理由
a host of,"det. 很多
 大量；许多；一大群"
go into,"na. 进入；(门等)通着；加入；参与
 调查；从事；研究"
down the road, 只要沿着这条路；将来；在路上
chances are, 再世俏郎君；有可能；很有可能
hold down,"na. 压制；牵制；阻止；压低(物价等)
 抑制；缩减；保有"
get sb. down,"na. 开始认真对待；落下；下车；写下
 下来；从…下来；降下"
start out,"na. 跳出；开始；企图
 出发；动身；着手"
count on,"na. 指望；预料到；期望
 依靠；依赖；期待"
criticism,n. 批评；考证；苛求
personally,adv. 亲自地；当面；个别地；就自己而言
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
sting,"n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛"
defensive,"n. 防御；守势
adj. 自卫的；防御用的"
necessarily,adv. 必要地；必定地，必然地
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
correction,n. 改正，修正
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
tidy,"n. 椅子的背罩
adj. 整齐的；相当大的
vi. 整理；收拾
vt. 整理；收拾；弄整齐"
misfile,vt. 归错文档
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
importance,n. 价值；重要；重大；傲慢
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
grammar,n. 语法；语法书
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
valid,adj. 有效的；有根据的；合法的；正当的
constructive,adj. 建设性的；推定的；构造上的；有助益的
motivation,n. 动机；积极性；推动
opinion,n. 意见；主张
informed,"v. 通知；使了解；提供资料（inform的过去分词）
adj. 消息灵通的；见多识广的"
critic,n. 批评家，评论家；爱挑剔的人
error,n. 误差；错误；过失
vague,adj. 模糊的；含糊的；不明确的；暧昧的
exactly,adv. 恰好地；正是；精确地；正确地
displease,"vt. 使生气；触怒
vi. 使生气；使不快"
clarification,n. 澄清，说明；净化
rectify,vt. 改正；精馏；整流
wordy,adj. 冗长的；口头的；唠叨的；文字的
statistics,n. 统计；统计学； 统计资料
lacking,"adj. 缺乏的；没有的；不足的
v. 缺少；不足（lack的ing形式）"
conclusion,n. 结论；结局；推论
instinct,"n. 本能，直觉；天性
adj. 充满着的"
defend,"vi. 保卫；防守
vt. 辩护；防护"
spectacular,adj. 壮观的，惊人的；公开展示的
insecure,adj. 不安全的；不稳定的；不牢靠的
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
deflate,"vt. 放气；使缩小；紧缩通货；打击；使泄气
vi. 缩小；物价下降"
ego,n. 自我；自负；自我意识
self-esteem,n. 自尊；自负；自大
ignore,vt. 驳回诉讼；忽视；不理睬
inappropriate,adj. 不适当的；不相称的
justified,"adj. 有正当理由的；合乎情理的；事出有因的
v. 调整（justify的过去分词）；证明…正当"
take sth. personally,
not necessarily,"na. 不一定
 未必；不见得；这倒未必"
would rather do sth. than do sth. else,
express yourself, 表现自我；表达你自己；自我表达
with ease,"na. 轻易地；容易
 容易地；轻而易举地；不费力"
use sth. to your advantage,
not cut it, 不剪它
lacking in, 缺乏；缺少
go off the deep end,"na. 游泳时投入深水；冒险；控制不住自己；发脾气
 仓促行事；贸然行事；勃然大怒"
count to ten, 数到十；十；沉静下来
be after,"v. 追求；寻找
 寻求；追逐；追赶"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
dampen,"vt. 抑制；使…沮丧；使…潮湿
vi. 潮湿；丧气"
spirits,"n. 态度（spirit的复数）；精力
v. 使振作（spirit的第三人称单数形式）"
cope,"n. 长袍
vi. 处理；对付；竞争"
behavior,n. 行为，举止；态度；反应
behaviour,n. 行为；习性；运行状况（=behavior）
effectively,adv. 有效地，生效地；有力地；实际上
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
whiner,n. 哀诉者；悲嗥者；啜泣者
Rx,
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
consultant,n. 顾问；咨询者；会诊医生
emphasize,vt. 强调，着重
reputation,n. 名声，名誉；声望
scene,n. 场面；情景；景象；事件
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
employee,n. 雇员；从业员工
mismanage,vt. 办错；处置失当；对…管理不善
monologue,n. 独白
gripe,"n. 发牢骚；肠绞痛
vt. 绞痛；握紧；惹恼
vi. 抱怨，发牢骚；肠绞痛"
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
indefinitely,adv. 不确定地，无限期地；模糊地，不明确地
restate,vt. 重申；重新叙述；重讲
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）"
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
interpersonal,adj. 人际的；人与人之间的
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
worst of all, 最糟糕的是；最糟的是；最蹩脚的是
cope with,"v. 对付；应付
 处理；应对；解决"
make no mistake, 别搞错；毫无疑问；别弄错
get one's way, 随心所欲；如某人所愿；得逞
get one's own way,"独自行动, 自行其事, 一意孤行, 随心所欲, 为所欲为"
stand up to,"na. 抵抗；反抗；反对；经得起
 勇敢地面对；勇敢面对；顶得住"
run down,"na. 下乡；(钟表等)停止；衰弱；赶上(人,猎物)
 撞倒；跑下；撞沉"
fix it,"na. 处理
 修复；搞定它；修补道路"
be in for sth.,
to top it all,"更有甚者, 更奇怪的是, 更糟糕的是"
let off steam,"na. 发泄多余的精力；发牢骚
 发泄郁积的感情；发泄抑制的感情；散发多余的精力"
dump sth. on sb.,
fabled,"adj. 寓言中的，虚构的
v. 虚构（fable的过去分词）"
myth,n. 神话；虚构的人，虚构的事
innate,adj. 先天的；固有的；与生俱来的
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
terrific,adj. 极好的；极其的，非常的；可怕的
combination,n. 结合；组合；联合； 化合
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
headhunter,n. 猎头者；物色人才的人；猎取人头的蛮人
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
variety,n. 多样；种类；杂耍；变化，多样化
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
seminar,n. 讨论会，研讨班
reimburse,vt. 偿还；赔偿
tape,"n. 胶带；磁带；带子；卷尺
vt. 录音；用带子捆扎；用胶布把…封住
vi. 用磁带录音"
enthusiasm,n. 热心，热忱，热情
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
acquire,vt. 获得；取得；学到；捕获
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
ad,n. 公元；广告（ad）
attractive,adj. 吸引人的；有魅力的；引人注目的
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
blister,"n. 水泡；水疱；气泡；砂眼；起泡剂
vt. 使起水泡；痛打；猛烈抨击
vi. 起水泡"
basically,adv. 主要地，基本上
hunter,n. 猎人；猎犬；搜寻者
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
home run,"n. 本垒打
 全垒打；红不让；棒球"
ongoing,"adj. 不间断的，进行的；前进的
n. 前进；行为，举止"
maintain,vt. 维持；继续；维修；主张；供养
service-oriented,adj. 服务型的
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
burst into tears,"na. 突然哭起来
 放声大哭；突然大哭；突然大哭起来"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
 经历；经受；仔细检查"
mark time,"na. 踏步；踌躇；原地踏步；(转义)停滞不前
 原地跳步；停止不前；踏步走"
move on,"na. 继续前进；(使)继续前进；向前!
 继续移动；往前走；继续前行"
go for,"na. 去喊；拥护；被认为；袭击
 适用于；为……去；支持"
a variety of,"det. 种种；形形色色
 各种各样的；多种多样的；多种的"
bring in,"na. 生产；生(利)；收获(农作物等)；挣得(报酬等)
 引进；带来；引入"
leave sb. cold,v. 冷淡对待
awash,adj. 被浪冲打的；与水面齐平的；充斥的
real estate,"n. 房地产；不动产；房产
 房地产业；房地产专业；房地产学"
queen,"n. 女王，王后；（纸牌中的）皇后；（蜜蜂等的）蜂王
vt. 使…成为女王或王后
vi. 做女王"
response,n. 响应；反应；回答
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
overload,"vt. 超载，超过负荷
n. 超载；负荷过多"
succinct,adj. 简洁的；简明的；紧身的
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
length,n. 长度，长；时间的长短；（语）音长
twitter,"n. 微博客，鸟叫声
vt. 吱吱叫；嘁嘁喳喳地讲"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
blog,n. 博客；部落格；网络日志
site,"n. 地点；位置；场所
vt. 设置；为…选址"
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
treatise,n. 论述；论文；专著
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
journalist,n. 新闻工作者；报人；记日志者
ton,n. 吨；很多，大量
unsolicited,adj. 未经请求的；主动提供的
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
relation,n. 关系；叙述；故事；亲属关系
convoluted,"adj. 复杂的；费解的；旋绕的
v. 盘绕；缠绕（convolute的过去分词）"
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
noteworthy,adj. 值得注意的；显著的
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
inaugural,"n. 就职演讲；开幕辞
adj. 开始的；开幕的；就任的，就职的"
keynote,"n. 基调；主旨；主音
vt. 给…定基调；说明基本政策
vi. 作主旨发言"
democratic,adj. 民主的；民主政治的；大众的
convention,n. 大会； 惯例； 约定； 协定；习俗
well-crafted, 技术良好的；巧妙性
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
reaction,n. 反应，感应；反动，复古；反作用
meaningless,adj. 无意义的；无目的的
buzzword,n. 流行词
startup,n. 启动；开办
investor,n. 投资者
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
energy-efficient,adj. 节能的，节约能源的；高能效的
flat-panel,扁平面板
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
specifically,adv. 特别地；明确地
brevity,n. 简洁，简短；短暂，短促
get to the point, 言归正传；有话直说；有话直说，别吞吞吐吐
turn off,"v. 关掉
 关上；关闭；解雇"
