urbanization,n. 都市化；文雅化
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
sue,"vt. 控告；请求
vi. 控告；提出请求"
humane,adj. 仁慈的，人道的；高尚的
parliamentary,adj. 议会的；国会的；议会制度的
sideline,"n. 副业；球场边线；局外人的观点
adj. 倾斜的
vt. 迫使退出"
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
chronicle,"n. 编年史，年代记；记录
vt. 记录；把…载入编年史"
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
expectancy,n. 期望，期待
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
sympathy,n. 同情；慰问；赞同
condolence,n. 哀悼；慰问
questionnaire,n. 问卷；调查表
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
infinity,n. 无穷；无限大；无限距
successor,n. 继承者；后续的事物
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
vaccinate,"vt. 给…注射疫苗
vi. 接种疫苗
n. 被接种牛痘者"
cape,n.  海角，岬；披肩
crusader,n. 改革者；十字军战士
cemetery,n. 墓地；公墓
turn up,"v. 朝上翻；出现
 开大；找到；露面"
put out,"v. 扑灭；熄灭；放出；伸出
 关；关熄；消灭，关"
alert sb. to sth.,
lay siege to sth.,
lay siege to sb.,
follow suit,"na. 跟出同花色的牌；学样
 跟着做；照着做；跟风"
in the face of,"na. 不避；不管；在…前面；面临
 面对；在...面前；不顾"
stand on the sidelines,
stay on the sidelines, 退场观望
remain on the sidelines,
get revenge for sth.,
get revenge on sb. for sth.,
appeal to,"v. 求助于；引起N
 呼吁；吸引；上诉"
Henry Spira,
New York University,"n. 纽约大学
 美国纽约大学；纽约大学斯特恩商学院；纽约大学法学院"
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
handset,n. 手机，电话听筒
thesis,n. 论文；论点
indignant,adj. 愤愤不平的；义愤的
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
heritage,n. 遗产；传统；继承物；继承权
patron,n. 赞助人；保护人；主顾
ashore,"adj. 在岸上的；在陆上的
adv. 在岸上；向岸"
deport,vt. 驱逐出境；举止；放逐
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
adherence,n. 坚持；依附；忠诚
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
tribunal,n. 法庭；裁决；法官席
denounce,vt. 谴责；告发；公然抨击；通告废除
agitation,n. 激动；搅动；煽动；烦乱
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
animated,"vt. 使…有生气（animate的过去式）
adj. 活生生的；活泼的；愉快的"
realistic,adj. 现实的；现实主义的；逼真的；实在论的
realistically,adv. 现实地；实际地；逼真地
wax,"n. 蜡；蜡状物
adj. 蜡制的；似蜡的
vt. 给…上蜡
vi. 月亮渐满；增大"
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
tentatively,adv. 暂时地；试验性地
commentary,n. 评论；注释；评注；说明
refined,adj.  精炼的；精确的；微妙的；有教养的
tack,"n. 大头钉；粗缝；行动方针；食物
vt. 附加；以大头针钉住
vi. 抢风航行；作文字形移动"
superintendent,n. 监督人；负责人；主管；指挥者
tickle,"n. 胳肢；痒感；使人发痒、高兴的东西
vt. 使发痒；使高兴；使满足
vi. 觉得痒；（东西）使人发痒"
flutter,"n. 摆动；鼓翼；烦扰
vt. 拍；使焦急；使飘动
vi. 飘动；鼓翼；烦扰"
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
impetus,n. 动力；促进；冲力
manuscript,"n.  手稿；原稿
adj. 手写的"
coverage,n. 覆盖，覆盖范围；新闻报道
bewilder,vt. 使迷惑，使不知所措
bewildered,"v. 使困惑（bewilder的过去分词）
adj. 困惑的；眩"
module,n.  模块；组件；模数
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
consistency,n.  一致性；稠度；相容性
inconsistency,n. 不一致；易变
serial,"n. 电视连续剧； 期刊；连载小说
adj. 连续的；连载的；分期偿还的"
particle,n. 颗粒； 质点；极小量；小品词
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
in adherence to,
in essence,"na. 本质上；大体上
 实质上；在本质上；本质上地"
come to life,"na. 苏醒过来
 复活；活跃起来；恢复生气"
tack sth. up,
dub sb. as,
dub sth. as,
feel strongly about sth.,
Gray,
William Butler Yeats, 叶芝；叶慈；威廉·巴特勒·叶芝
Ellis Island,"un. 埃利斯岛(在纽约港进口处,1892~1943年间曾作美移民局检查站)
 爱丽丝岛；爱利斯岛；艾利斯岛"
Fire Department of the City of New York,
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
petroleum,n. 石油
versatile,adj. 多才多艺的；通用的，万能的；多面手的
uranium,n.  铀
monopoly,n. 垄断；垄断者；专卖权
treaty,n. 条约，协议；谈判
particulates,n. 微粒；大气尘；微粒物质；空气中微小颗粒（particulate的复数形式）
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
insurgent,"n. 叛乱者；起义者
adj. 叛乱的；起义的"
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
wisp,"n. 小捆；小束
vt. 把…卷成一捆
vi. 卷成一捆"
eventual,adj. 最后的，结果的；可能的；终于的
hitherto,adv. 迄今；至今
synthesis,n. 综合， 合成；综合体
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
linear,adj. 线的，线型的；直线的，线状的；长度的
fusion,n. 融合；熔化；熔接；融合物； 核聚变
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
confederation,n. 联盟；邦联；同盟
feverish,adj. 发热的；极度兴奋的
feverishly,adv. 狂热地；兴奋地
glitter,"vi. 闪光；闪烁
n. 闪光；灿烂"
glittering,"adj. 闪闪发光的
v. 闪闪发光（glitter的ing形式）"
prohibitive,adj. 禁止的，禁止性的；抑制的；（费用，价格等）过高的；类同禁止的
intricate,adj. 复杂的；错综的，缠结的
gadget,n. 小玩意；小器具；小配件；诡计
apparatus,n. 装置，设备；仪器；器官
combustion,n. 燃烧，氧化；骚动
transistor,n. 晶体管（收音机）
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
rotary,"n. 旋转式机器； 转缸式发动机
adj. 旋转的，转动的；轮流的"
blade,n. 叶片；刀片，刀锋；剑
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
axis,n. 轴；轴线；轴心国
viable,adj. 可行的；能养活的；能生育的
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
outflow,"n. 流出；流出量；流出物
vi. 流出"
excavation,n. 挖掘，发掘
standby,"n. 备用品；可信赖的人
adj. 备用的
adv. 备用地；待命地"
corpse,n. 尸体
ventilate,vt. 使通风；给…装通风设备；宣布
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
dioxide,n. 二氧化物
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
bulletin,"n. 公告，公报
vt. 公布，公告"
hinge,"n. 铰链，折叶；关键，转折点；枢要，中枢
v. 用铰链连接；依…为转移；给…安装铰链；（门等）装有蝶铰"
inaugurate,vt. 创新；开辟；开创；举行开幕典礼；举行就职典礼
factor sth. in, 的因素；将…列为重要因素；考虑进来
on a ... scale,
convert sth. into sth.,
convert sth. to sth.,
on a regular basis, 定期地；经常；经常地
on a daily basis, 每天；日常；每天都
on a weekly basis,
fill up,"na. 同“fill”
 装满；填补；填满"
clear up,"na. 整顿；说明；(天气)转晴
 放晴；整理；清理"
derive from,"v. 来自；起源于
 衍生；由来；来源于"
be derived from,"na. 由…而来
 由……得到；由……衍生；源自于"
hinge on sth.,
hinge upon sth.,
Chernobyl, 车诺比
Fukushima,
spike,"n. 长钉，道钉；钉鞋；细高跟
vt. 阻止；以大钉钉牢；用尖物刺穿"
equator,n. 赤道
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
inflationary,adj. 通货膨胀的；通货膨胀倾向的；通货膨胀引起的
riot,"n. 暴乱；放纵；蔓延
vt. 浪费，挥霍
vi. 骚乱；放荡"
recur,vi. 复发；重现；采用；再来；循环；递归
turnout,n. 产量；出席者；参加人数；出动；清除； 岔道
disclose,vt. 公开；揭露
dairy,"n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业
adj. 乳品的；牛奶的；牛奶制的；产乳的"
oracle,n. 神谕；预言；神谕处；圣人
foretell,"vt. 预言；预示；预告
vi. 预言；预示；预告"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
consensus,n. 一致；舆论；合意
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
intermittent,adj. 间歇的；断断续续的；间歇性
animate,"adj. 有生命的
vt. 使有生气；使活泼；鼓舞；推动"
hoard,"n. 贮藏物
vt. 贮藏
vi. 积聚钱财；贮藏货物"
wholesale,"n. 批发
adj. 批发的；大规模的
vt. 批发
adv. 大规模地；以批发方式
vi. 批发；经营批发业"
pistol,"n. 手枪；信号枪
vt. 用手枪射击"
volatile,"n. 挥发物；有翅的动物
adj.  挥发性的；不稳定的；爆炸性的；反复无常的"
dual,"n. 双数；双数词
adj. 双的；双重的"
livestock,n. 牲畜；家畜
excerpt,"n. 摘录，引用
vt. 引用，摘录
vi. 摘录，引用"
pamphlet,n. 小册子
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
piracy,n. 海盗行为；剽窃；著作权侵害；非法翻印
neutralize,"vt. 抵销；使…中和；使…无效；使…中立
vi. 中和；中立化；变无效"
dodge,"n. 躲闪；托词
vi. 躲避，避开
vt. 躲避，避开
n. 道奇（汽车品牌）"
agency,n. 代理，中介；代理处，经销处
foresight,n. 先见，远见；预见；深谋远虑
subsidy,n. 补贴；津贴；补助金
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
rupture,"n. 破裂；决裂；疝气
vt. 使破裂；断绝；发生疝
vi. 破裂；发疝气"
seam,"n. 缝；接缝
vt. 缝合；接合；使留下伤痕
vi. 裂开；产生裂缝"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
discrepancy,n. 不符；矛盾；相差
signpost,n. 路标；指示牌
syndrome,n.  综合症状；并发症状；校验子；并发位
soluble,adj.  可溶的，可溶解的；可解决的
staircase,n. 楼梯
consistent,adj. 始终如一的，一致的；坚持的
consistently,adv. 一贯地；一致地；坚实地
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
calm down,"na. 平静下来
 镇定下来；冷静；冷静下来"
level off,"na. 弄平；达到同一水准；(物价等)稳定；(飞机降落前)水平飞行
 达到平衡；平整；趋向平稳"
classify sth. as sth.,
be starved of sth.,
keep sth. at bay,"na. 围住；不使…接近
 使走投无路；牵制；阻止"
hold sth. at bay,"na. 使走投无路；遏制
 不使……迫近"
rescue sth. from sth.,
rescue sb. from sth.,
get a recipe for sth.,
be a recipe for sth.,
point to,"v. 指向；针对
 指着；表明；指出"
on a collision course, 在一次碰撞中
The Organisation for Economic Co-operation and Development,
OECD,
